Round	Pick	Player	Position	School
1	5	Tom Moore	Running Back	Vanderbilt
2	17	Bob Jeter	Cornerback	Iowa
5	51	Dale Hackbart	Defensive Back	Wisconsin
6	65	Mike Wright	Tackle	Minnesota
7	77	Kirk Phares	Guard	South Carolina
8	89	Don Hitt	Center	Oklahoma State
9	101	Frank Brixius	Tackle	Minnesota
11	125	Ron Ray	Tackle	Howard Payne
12	137	Harry Ball	Tackle	Boston College
13	149	Paul Winslow	Defensive Back	North Carolina Central
14	161	Jon Gilliam	Center	East Texas State
15	173	Garney Henley	Back	Huron
16	185	John Littlejohn	Back	Kansas State
17	197	Joe Gomes	Back	South Carolina
18	209	Royce Whittington	Tackle	Southwestern Louisiana
19	221	Rich Brooks	End	Purdue
20	233	Gilmer Lewis	Tackle	Oklahoma
