Date	Opponent	Score	Loss	Save
4 / 1	@ Macoto Cobras	6 - 9	Shen Po-tsang	Travis Minix
4 / 3	@ Chinatrust Whales	4 - 2	Shen Yu-chieh	Kao Lung-wei
4 / 4	@ Chinatrust Whales	9 - 8	Ni Fu-deh	Kao Lung-wei
4 / 5	@ Brother Elephants	10 - 11	Kao Lung-wei	||6,525
4 / 6	@ Brother Elephants	1 - 5	Jeriome Robertson	Chuang Wei-chuan
4 / 10	Macoto Cobras	7 - 15	Rob Cordemans	||1,026
4 / 11	Macoto Cobras	2 - 6	Jeriome Robertson	||1,167
4 / 14	@ Sinon Bulls	1 - 2	Pete Munro	Kuo Yung-chih
4 / 15	@ Sinon Bulls	0 - 5	Chang Chih-chiang	||3,017
4 / 19	Sinon Bulls	4 - 3	Alfredo Gonzalez	Lin Cheng-feng
4 / 20	Sinon Bulls	0 - 2	Pete Munro	Kuo Yung-chih
4 / 21	Chinatrust Whales	7 - 1	Tseng Chao-hao	||2,048
4 / 22	Chinatrust Whales	20 - 5	Kao Chien-san	||2,077
4 / 26	Brother Elephants	1 - 0	Wang Chin-li	||2,543
4 / 27	Brother Elephants	9 - 12	Rob Cordemans	Chuang Wei-chuan
4 / 28	Sinon Bulls	1 - 13	Jeriome Robertson	||3,026
4 / 29	Sinon Bulls	4 - 2	Lee Kuo-ching	Pan Chun-jung
