Name	Team	Qual 1	Qual 2	Best
Will Power	Team Australia	1:25.199	1:23.558	1:23.558
Sébastien Bourdais	N/H/L Racing	1:24.698	1:24.901	1:24.698
Robert Doornbos	Minardi Team USA	1:26.220	1:24.152	1:24.152
Oriol Servià	PKV Racing	1:25.436	1:24.324	1:24.324
Justin Wilson	RuSPORT	1:24.825	1:24.365	1:24.365
Simon Pagenaud	Team Australia	1:25.952	1:24.394	1:24.394
Graham Rahal	N/H/L Racing	1:25.889	1:24.515	1:24.515
Paul Tracy	Forsythe Racing	1:26.130	1:24.608	1:24.608
Dan Clarke	Minardi Team USA	1:26.617	1:24.764	1:24.764
David Martínez	Forsythe Racing	1:26.056	1:24.888	1:24.888
Neel Jani	PKV Racing	1:26.156	1:24.929	1:24.929
Bruno Junqueira	Dale Coyne Racing	1:26.190	1:25.361	1:25.361
Nelson Philippe	Conquest Racing	1:26.952	1:25.405	1:25.405
Alex Tagliani	Rocketsports Racing	1:27.277	1:25.446	1:25.446
Mario Domínguez	Pacific Coast Motorsports	1:26.181	1:25.602	1:25.602
Katherine Legge	Dale Coyne Racing	1:28.069	1:26.277	1:26.277
Alex Figge	Pacific Coast Motorsports	1:27.230	1:26.582	1:26.582
