Launch Vehicle	Launch date	Institutional authority	Launch site	Results
Hatf-I	October 20, 1989; 00:00 GMT	SUPARCO	Sonmiani Terminal	Success
Ghauri-I	April 6, 1998; 04:30 GMT	KRL	Tilla Terminal Test	Success
Shaheen-I	January 15, 1999; 02:30 GMT	PAEC	Sonmiani Terminal	Partial Failure
Ghauri-II	April 14, 1999; 05:35 GMT	KRL	Tilla Terminal Test	Success
Shaheen-I	April 15, 1999; 04:58 GMT	PAEC	Sonmiani Terminal	Success
Ghauri-III	November 19, 2000; 00:00 GMT	KRL	Tilla Terminal Test	Ground Failure
Ghauri-II	May 25, 2002 04:30 GMT	KRL	Tilla Terminal Test	Success
Shaheen-I	October 24, 2002; 02:30 GMT	PAEC	Jinnah Naval Test Range	Success
Shaheen-I	October 8, 2002	PAEC	Sonmiani Terminal	Success
Shaheen-III	March 9, 2004	SUPARCO	Tilla Terminal Test	Partial Success
Ghauri-I	May 29, 2004	KRL	Tilla Termial Test	Success
Ghauri-I	June 4, 2004	KRL	Tilla Terminal Test	Success
Ghauri-I	October 12, 2004	KRL	Tilla Terminal Test	Success
Shaheen-II	March 19, 2005	NDC	Sonmiani Termial	Success
Ghauri-II	November 16, 2006	KRL	Tilla Terminal Test	Success
Shaheen-I	November 29, 2006	PAEC	Sonmiani Terminal	Success
Shaheen-II	February 23, 2007	NDC	Sonmiani Terminal	Success
Abdali-I	March 3, 2007	SUPARCO	Sonmiani Terminal	Success
Ra'ad	August 25, 2007	PAF	Jinnal Naval Test Range	Success
Shaheen-I	January 25, 2008	PAEC	Sonmiani Terminal	Success
Shaheen-II	April 19, 2008	NDC	Sonmiani Terminal	Success
Shaheen-	April 21, 2008	NDC	JJinnah Naval Test Range	Success
Hatf-XI	April 19, 2011	NDC	Tilla Terminal Test	Success
