Date	Tournament	Round	Ground	Opponent	Score 1
28 Jul 2007	Belgian Supercup	Final	H	ClubBrugge	3 – 1
3 Aug 2007	Jupiler League	1	A	Mechelen	1 – 0
11 Aug 2007	Jupiler League	2	H	Lokeren	1 – 0
15 Aug 2007	UEFA Champions League	Third Qualifying Round	A	Fenerbahçe	0 – 1
18 Aug 2007	Jupiler League	3	A	Dender	2 – 2
25 Aug 2007	Jupiler League	4	H	Brussels	3 – 0
29 Aug 2007	UEFA Champions League	Third Qualifying Round	H	Fenerbahçe	0 – 2
2 Sep 2007	Jupiler League	5	A	Mouscron	2 – 1
15 Sep 2007	Jupiler League	6	H	Zulte-Waregem	2 – 2
21 Sep 2007	UEFA Cup	First Round	H	Rapid Wien	1 – 1
23 Sep 2007	Jupiler League	7	A	Genk	1 – 1
29 Sep 2007	Jupiler League	8	H	Charleroi	0 – 1
5 Oct 2007	UEFA Cup	First Round	A	Rapid Wien	1 – 0
7 Oct 2007	Jupiler League	9	A	Roeselare	2 – 2
21 Oct 2007	Jupiler League	10	H	Gent	2 – 1
25 Oct 2007	UEFA Cup	Group stage	H	Hapoel Tel Aviv	2 – 0
28 Oct 2007	Jupiler League	11	A	CercleBrugge	0 – 0
3 Nov 2007	Jupiler League	12	H	Westerlo	3 – 1
8 Nov 2007	UEFA Cup	Group stage	A	AaB	1 – 1
11 Nov 2007	Jupiler League	13	A	Germinal Beerschot	0 – 2
24 Nov 2007	Belgian Cup	Sixth	H	Hamme	2 – 1
30 Nov 2007	Jupiler League	14	H	StandardLiège	0 – 0
6 Dec 2007	UEFA Cup	Group stage	H	Tottenham Hotspur	1 – 1
9 Dec 2007	Jupiler League	15	A	Sint-Truiden	3 – 4
16 Dec 2007	Jupiler League	16	A	ClubBrugge	0 – 1
19 Dec 2007	UEFA Cup	Group stage	A	Getafe	1 – 2
22 Dec 2007	Jupiler League	17	H	Mons	3 – 2
12 Jan 2008	Belgian Cup	Seventh	H	Waasland	2 – 0
19 Jan 2008	Jupiler League	18	H	Mechelen	1 – 0
27 Jan 2008	Jupiler League	19	A	Lokeren	0 – 0
30 Jan 2008	Belgian Cup	Quarter-finals	H	Dender	3 – 0
2 Feb 2008	Jupiler League	20	H	Dender	1 – 0
9 Feb 2008	Jupiler League	21	A	Brussels	4 – 2
13 Feb 2008	UEFA Cup	Round of 32	H	Bordeaux	2 – 1
16 Feb 2008	Jupiler League	22	H	Mouscron	2 – 1
21 Feb 2008	UEFA Cup	Round of 32	A	Bordeaux	1 – 1
24 Feb 2008	Jupiler League	23	A	Zulte-Waregem	0 – 1
27 Feb 2008	Belgian Cup	Quarter-finals	A	Dender	1 – 1
2 Mar 2008	Jupiler League	24	H	Genk	1 – 0
6 Mar 2008	UEFA Cup	Round of 16	H	Bayern Munich	0 – 5
9 Mar 2008	Jupiler League	25	A	Charleroi	2 – 0
12 Mar 2008	UEFA Cup	Round of 16	A	Bayern Munich	2 – 1
15 Mar 2008	Jupiler League	26	H	Roeselare	5 – 0
19 Mar 2008	Belgian Cup	Semi-finals	H	Germinal Beerschot	1 – 0
23 Mar 2008	Jupiler League	27	A	Gent	3 – 2
30 Mar 2008	Jupiler League	28	H	CercleBrugge	3 – 1
6 Apr 2008	Jupiler League	29	A	Westerlo	2 – 0
13 Apr 2008	Jupiler League	30	H	Germinal Beerschot	2 – 0
16 Apr 2008	Belgian Cup	Semi-finals	A	Germinal Beerschot	1 – 1
20 Apr 2008	Jupiler League	31	A	StandardLiège	0 – 2
26 Apr 2008	Jupiler League	32	H	Sint-Truiden	4 – 1
3 May 2008	Jupiler League	33	H	ClubBrugge	2 – 0
10 May 2008	Jupiler League	34	A	Mons	2 – 1
18 May 2008	Belgian Cup	Final	N	Gent	3 – 2
