Stadium	Capacity	City	State	Home team	Opened
Signal Iduna Park	80,720	Dortmund	North Rhine-Westphalia	Borussia Dortmund	1974
Olympiastadion Berlin	77,166	Berlin	Berlin	Hertha BSC	1936
Allianz Arena	71,901	Munich	Bavaria	FC Bayern Munich , TSV 1860 München	2005
Olympiastadion München	69,267	Munich	Bavaria	—	1972
Veltins-Arena	61,673	Gelsenkirchen	North Rhine-Westphalia	FC Schalke 04	2001
Mercedes-Benz Arena	60,469	Stuttgart	Baden-Württemberg	VfB Stuttgart	1933
Imtech Arena	57,030	Hamburg	Hamburg	Hamburger SV	1953
Esprit Arena	54,600	Düsseldorf	North Rhine-Westphalia	Fortuna Düsseldorf	2005
Stadion im Borussia-Park	54,067	Mönchengladbach	North Rhine-Westphalia	Borussia Mönchengladbach	2004
Commerzbank-Arena	52,300	Frankfurt	Hesse	Eintracht Frankfurt	1925
RheinEnergieStadion	50,374	Cologne	North Rhine-Westphalia	1. FC Köln	1923
Frankenstadion	50,000	Nuremberg	Bavaria	1. FC Nürnberg	1928
Fritz-Walter-Stadion	49,780	Kaiserslautern	Rhineland-Palatinate	1. FC Kaiserslautern	1920
AWD-Arena	49,000	Hannover	Lower Saxony	Hannover 96	1954
Red Bull Arena	44,345	Leipzig	Saxony	RB Leipzig	1954
Weserstadion	42,358	Bremen	Bremen	SV Werder Bremen	1947
Ludwigsparkstadion	35,303	Saarbrücken	Saarland	1. FC Saarbrücken	1953
Grotenburg Stadion	34,500	Krefeld	North Rhine-Westphalia	KFC Uerdingen 05	1927
Coface Arena	34,034	Mainz	Rhineland-Palatinate	1. FSV Mainz 05	2011
New Tivoli	32,960	Aachen	North Rhine-Westphalia	Alemannia Aachen	2009
Rudolf-Harbig-Stadion	32,066	Dresden	Saxony	Dynamo Dresden	1923
MSV Arena	31,500	Duisburg	North Rhine-Westphalia	MSV Duisburg	2004
Impuls Arena	30,660	Augsburg	Bavaria	FC Augsburg	2009
BayArena	30,210	Leverkusen	North Rhine-Westphalia	Bayer 04 Leverkusen	1958
Rhein-Neckar-Arena	30,164	Sinsheim	Baden-Württemberg	TSG 1899 Hoffenheim	2009
Volkswagen Arena	30,000	Wolfsburg	Lower Saxony	VfL Wolfsburg	2002
Wildparkstadion	29,699	Karlsruhe	Baden-Württemberg	Karlsruher SC	1923
Ruhrstadion	29,448	Bochum	North Rhine-Westphalia	VfL Bochum	1979
Millerntor-Stadion	29,063	Hamburg	Hamburg	FC St.Pauli	1963
DKB-Arena	29,000	Rostock	Mecklenburg-Vorpommern	F.C. Hansa Rostock	1954
Stadion am Zoo	28,300	Wuppertal	North Rhine-Westphalia	Wuppertaler SV	1924
SchücoArena	27,300	Bielefeld	North Rhine-Westphalia	Arminia Bielefeld	1926
MDCC-Arena	27,250	Magdeburg	Saxony-Anhalt	1. FC Magdeburg	2006
Carl-Benz-Stadion	26,022	Mannheim	Baden-Württemberg	SV Waldhof Mannheim	1994
Eintracht-Stadion	25,540	Braunschweig	Lower Saxony	Eintracht Braunschweig	1923
Dreisamstadion	25,036	Freiburg im Breisgau	Baden-Württemberg	SC Freiburg	1953
