Date	Tournament	Surface	Opponent in the final	Score in the final
6 August 1995	Kitzbühel , Austria	Clay	Thomas Muster	4–6, 6–4, 7–6 (7-3) , 2–6, 6–4
14 July 1996	Gstaad , Switzerland	Clay	Félix Mantilla	4–6, 7–6 (7-2) , 6–1, 6–0
11 August 1996	San Marino , San Marino	Clay	Félix Mantilla	7–6 (9-7) , 6–3
15 September 1996	Bournemouth , UK	Clay	Marc-Kevin Goellner	6–7 (4-7) , 6–2, 6–2
20 April 1997	Barcelona , Spain	Clay	Albert Portas	7–5, 6–4, 6–4
14 September 1997	Marbella , Spain	Clay	Alberto Berasategui	6–3, 6–2
10 May 1998	Hamburg , Germany	Clay	Àlex Corretja	6–2, 6–0, 1–0 retired
1 August 1998	Kitzbühel , Austria	Clay	Andrea Gaudenzi	6–2, 1–6, 6–2, 3–6, 6–1
11 April 1999	Estoril , Portugal	Clay	Todd Martin	7–6 (7-4) , 2–6, 6–3
11 July 1999	Gstaad, Switzerland	Clay	Nicolás Lapentti	7–6 (7-4) , 6–3, 6–4
2 August 1999	Kitzbühel , Austria	Clay	Fernando Vicente	7–5, 6–2, 6–7 (5-7) , 7–6 (7-4)
11 June 2002	French Open , Paris, France	Clay	Juan Carlos Ferrero	6–1, 6–0, 4–6, 6–3
