Game	December	Opponent	Score	Location/Attendance	Record	Points
26	1	Boston Bruins	0 – 3	Wells Fargo Center (19,684)	15–7–4	34
27	4	New Jersey Devils	5 – 3	Wells Fargo Center (19,657)	16–7–4	36
28	5	@ New York Islanders	3 – 2	Nassau Veterans Memorial Coliseum (7,773)	17–7–4	38
29	8	San Jose Sharks	4 – 5 (SO)	Wells Fargo Center (19,801)	17–7–5	39
30	9	@ Toronto Maple Leafs	4 – 1	Air Canada Centre (19,365)	18–7–5	41
31	11	@ Boston Bruins	2 – 1 (OT)	TD Garden (17,565)	19–7–5	43
32	14	Pittsburgh Penguins	3 – 2	Wells Fargo Center (19,824)	20–7–5	45
33	15	@ Montreal Canadiens	5 – 3	Bell Centre (21,273)	21–7–5	47
34	18	New York Rangers	4 – 1	Wells Fargo Center (19,898)	22–7–5	49
35	20	Florida Panthers	0 – 5	Wells Fargo Center (19,864)	22–8–5	49
36	28	@ Vancouver Canucks	2 – 6	Rogers Arena (18,860)	22–9–5	49
37	30	@ Los Angeles Kings	7 – 4	Staples Center (18,118)	23–9–5	51
