Date	Visitor	Score	Home	Record
November 16	New York Rangers	1–1	Chicago Black Hawks	0–0–1
November 20	Boston Bruins	0–1	Chicago Black Hawks	1–0–1
November 23	Montreal Canadiens	0–3	Chicago Black Hawks	2–0–1
November 25	Chicago Black Hawks	4–3	Boston Bruins	3–0–1
November 27	Chicago Black Hawks	4–0	New York Rangers	4–0–1
November 29	Chicago Black Hawks	3–0	Ottawa Senators	5–0–1
December 2	Chicago Black Hawks	1–2	Montreal Maroons	5–1–1
December 4	New York Americans	2–4	Chicago Black Hawks	6–1–1
December 7	Detroit Falcons	2–3	Chicago Black Hawks	7–1–1
December 9	Chicago Black Hawks	0–1	Detroit Falcons	7–2–1
December 14	Montreal Maroons	2–0	Chicago Black Hawks	7–3–1
December 16	Ottawa Senators	2–4	Chicago Black Hawks	8–3–1
December 18	Chicago Black Hawks	0–0	Montreal Canadiens	8–3–2
December 20	Chicago Black Hawks	1–3	Toronto Maple Leafs	8–4–2
December 23	Chicago Black Hawks	3–2	Philadelphia Quakers	9–4–2
December 28	Toronto Maple Leafs	3–2	Chicago Black Hawks	9–5–2
January 1	Philadelphia Quakers	3–10	Chicago Black Hawks	10–5–2
January 4	Detroit Falcons	2–1	Chicago Black Hawks	10–6–2
January 6	Chicago Black Hawks	2–5	Boston Bruins	10–7–2
January 8	Chicago Black Hawks	4–0	Philadelphia Quakers	11–7–2
January 11	Chicago Black Hawks	2–0	New York Rangers	12–7–2
January 13	Chicago Black Hawks	1–0	New York Americans	13–7–2
January 15	Boston Bruins	0–2	Chicago Black Hawks	14–7–2
January 18	New York Rangers	1–2	Chicago Black Hawks	15–7–2
January 22	Philadelphia Quakers	2–5	Chicago Black Hawks	16–7–2
January 25	Montreal Maroons	3–2	Chicago Black Hawks	16–8–2
February 1	Montreal Canadiens	4–2	Chicago Black Hawks	16–9–2
February 5	Philadelphia Quakers	1–6	Chicago Black Hawks	17–9–2
February 8	Chicago Black Hawks	3–2	New York Rangers	18–9–2
February 10	Chicago Black Hawks	1–2	Boston Bruins	18–10–2
February 12	Chicago Black Hawks	3–2	Ottawa Senators	19–10–2
February 15	New York Rangers	2–1	Chicago Black Hawks	19–11–2
February 19	Detroit Falcons	5–4	Chicago Black Hawks	19–12–2
February 22	Chicago Black Hawks	1–1	Detroit Falcons	19–12–3
February 24	Chicago Black Hawks	2–3	Montreal Maroons	19–13–3
March 1	Ottawa Senators	0–5	Chicago Black Hawks	20–13–3
March 5	New York Americans	0–1	Chicago Black Hawks	21–13–3
March 8	Chicago Black Hawks	1–2	New York Americans	21–14–3
March 10	Chicago Black Hawks	1–2	Montreal Canadiens	21–15–3
March 12	Boston Bruins	2–3	Chicago Black Hawks	22–15–3
March 15	Toronto Maple Leafs	2–1	Chicago Black Hawks	22–16–3
March 17	Chicago Black Hawks	4–0	Philadelphia Quakers	23–16–3
March 19	Chicago Black Hawks	2–8	Toronto Maple Leafs	23–17–3
March 22	Chicago Black Hawks	2–1	Detroit Falcons	24–17–3
