Class	DRG Number(s)	Quantity	Year(s) of Manufacture	Type
ES 1	E 16 01–E 16 10	10	1925	1′Do1′ w4e
ES 1	E 16 11–E 16 21	11	1928–1933	1′Do1′ w4e
EP 1 to 1920: EP3/5	E 62 01–E 62 05	5	1912	1′C1′ w1k
EP 2	E 32 06–E 32 34	29	1924–1926	1′C1′ w2u
EP 3 ( de ) to 1920: EP3/6	E 36 01–E 36 04	4	1914	1′C2′ w1k
EP 4 ( de ) to 1920: EP3/6 II	E 36 21–E 36 24	4	1914	1′C2′ w1k
EP 5	E 52 01–E 52 35	35	1924–1925	2′BB2′ w4u
EG 1 ( de ) to 1920: EG4x1/1	E 73 01–E 73 02	2	1914–1915	Bo′Bo′ w4t
EG 2 ( de ) to 1920: EG2x2/2	E 70 21–E 70 22	2	1920	B′B′ w2u
EG 3	E 77 01–E 77 31	31	1924–1925	(1′B)(B1′) w2u
(EG 4)	E 79 01–E 79 02	2	1926–1927	2′D1′ w2u
EG 5	E 91 01–E 91 20	20	1924–1927	C′C′ w4u
