Year	Male	Female	Album	Live Performance
2001	David Gray	Whitney Houston	White Ladder	n/a
2002	Robbie Williams	Dido	Is This It	Red Hot Chili Peppers
2003	Eminem	Avril Lavigne	By the Way	Red Hot Chili Peppers
2004	Justin Timberlake	Beyoncé	Elephant	Red Hot Chili Peppers
2005	Morrissey	PJ Harvey	Franz Ferdinand	The Killers
2006	Kanye West	Gwen Stefani	Employment	n/a
2007	Justin Timberlake	Lily Allen	Whatever People Say I Am, That's What I'm Not	n/a
2008	Bruce Springsteen	Amy Winehouse	Neon Bible	Muse
2009	James Morrison	Duffy	Only by the Night	Leonard Cohen
2010	Michael Bublé	Lady Gaga	Sunny Side Up	Leonard Cohen
