Venue	City	Tickets Sold / Available	Gross Revenue (1979)	Gross Revenue (2012)
RDS Arena	Dublin	15,000 / 15,000 (100%)	$121,416	$385,021
National Exhibition Centre	Birmingham	15,643 / 15,643 (100%)	$101,314	$321,276
Apollo Theatre	Manchester	7,000 / 7,000 (100%)	$53,834	$170,712
Apollo Theatre	Glasgow	7,000 / 7,000 (100%)	$49,584	$157,235
City Hall	Newcastle	4,270 / 4,270 (100%)	$31,111	$98,656
Empire Theatre	Liverpool	4,700 / 4,700 (100%)	$30,439	$96,525
Hippodrome	Bristol	1,951 / 1,951 (100%)	$14,215	$45,077
Brighton Centre	Brighton	9,000 / 9,000 (100%)	$72,865	$231,061
Lyceum Theatre	London	2,100 / 2,100 (100%)	$16,153	$51,223
Rainbow Theatre	London	3,040 / 3,040 (100%)	$24,613	$78,050
Purley Tiffany’s	London	4,000 / 4,000 (100%)	$30,766	$97,562
Tottenham Mayfair	London	1,000 / 1,000 (100%)	$7,691	$24,389
Lewisham Odeon	London	1,700 / 1,700 (100%)	$13,763	$43,644
Alexandra Palace	London	7,000 / 7,000 (100%)	$56,672	$179,712
Hammersmith Apollo	London	5,039 / 5,039 (100%)	$40,796	$129,368
TOTAL	TOTAL	88,443 / 88,443 (100%)	$665,232	$2,109,509
