Event	Class	Gold	Silver	Bronze
Time trial details	Time trial B&VI 1–3	Spain (ESP) Christian Venge David Llaurado	Netherlands (NED) Alfred Stelleman Jaco Tettelaar	Poland (POL) Krzysztof Kosikowski Artur Korc
Time trial details	Time trial CP 3	Javier Otxoa Spain (ESP)	Darren Kenny Great Britain (GBR)	Yong-Sik Jin South Korea (KOR)
Time trial details	Time trial CP 4	Cesar Neira Spain (ESP)	Christopher Scott Australia (AUS)	Masashi Ishii Japan (JPN)
Time trial details	Time trial HC A	Wolfgang Schattauer Austria (AUT)	Rastislav Turecek Slovakia (SVK)	Alain Quittet France (FRA)
Time trial details	Time trial HC B	Heinz Frei Switzerland (SUI)	Vittorio Podestà Italy (ITA)	Edward Maalouf Lebanon (LIB)
Time trial details	Time trial HC C	Oz Sanchez United States (USA)	José Vicente Arzo Spain (ESP)	Alejandro Albor United States (USA)
Time trial details	Time trial LC1	Wolfgang Sacher Germany (GER)	Wolfgang Eibeck Austria (AUT)	Fabio Triboli Italy (ITA)
Time trial details	Time trial LC2	Jiri Jezek Czech Republic (CZE)	Carol Eduard Novak Romania (ROU)	Roberto Alcaide Spain (ESP)
Time trial details	Time trial LC3	Laurent Thirionet France (FRA)	Simon Richardson Great Britain (GBR)	Masaki Fujita Japan (JPN)
Time trial details	Time trial LC4	Michael Teuber Germany (GER)	Juan José Méndez Spain (ESP)	Anthony Zahn United States (USA)
Road race details	Road race B&VI 1–3	Poland (POL) Andrzej Zajac Dariusz Flak	Finland (FIN) Jarmo Ollanketo Marko Tormanen	France (FRA) Olivier Donval John Saccomandi
Road race details	Road race HC B	Heinz Frei Switzerland (SUI)	Max Weber Germany (GER)	Edward Maalouf Lebanon (LIB)
Road race details	Road race HC C	Ernst van Dyk South Africa (RSA)	Alejandro Albor United States (USA)	Oz Sanchez United States (USA)
Road race details	Road race LC 1–2/CP 4	Fabio Triboli Italy (ITA)	David Mercier France (FRA)	Michael Gallagher Australia (AUS)
Road race details	Road race LC 3–4/CP 3	Darren Kenny Great Britain (GBR)	Javier Otxoa Spain (ESP)	Tomas Kvasnicka Czech Republic (CZE)
