Date	Venue	Score	Result	Competition
2007-05-27	Lobamba , Swaziland	1–0	2–0	COSAFA Cup
2007-05-27	Lobamba , Swaziland	2–0	2–0	COSAFA Cup
2007-09-29	Atteridgeville , South Africa	1–0	1–0	COSAFA Cup
2007-11-20	Durban , South Africa	1–0	2–0	Friendly match
2007-11-20	Durban , South Africa	2–0	2–0	Friendly match
2008-08-19	London, England	2–2	2–2	Friendly match
2008-11-19	Rustenburg , South Africa	1–0	3–2	Nelson Mandela Challenge
2008-11-19	Rustenburg , South Africa	2–0	3–2	Nelson Mandela Challenge
2009-01-27	Atteridgeville , South Africa	1–0	1–0	Friendly match
2010-05-27	Johannesburg , South Africa	1–0	2–1	Friendly match
