Week	Date	Opponent	Result	Attendance
1	September 13, 1976	Miami Dolphins	L 30–21	77,683
2	September 19, 1976	Houston Oilers	L 13–3	61,384
3	September 26, 1976	at Tampa Bay Buccaneers	W 14–9	44,505
4	October 3, 1976	Kansas City Chiefs	W 50–17	51,909
5	October 10, 1976	at New York Jets	L 17–14	59,110
6	October 17, 1976	Baltimore Colts	L 31–13	71,009
7	October 24, 1976	New England Patriots	L 26–22	45,144
8	October 31, 1976	New York Jets	L 19–14	41,285
9	November 7, 1976	at New England Patriots	L 20–10	61,157
10	November 15, 1976	at Dallas Cowboys	L 17–10	51,799
11	November 21, 1976	San Diego Chargers	L 34–13	36,539
12	November 25, 1976	at Detroit Lions	L 27–14	66,875
13	December 5, 1976	at Miami Dolphins	L 45–27	43,475
14	December 12, 1976	at Baltimore Colts	L 58–20	50,451
