Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1951 (24th)	Rashomon	Rashōmon ( 羅生門 ? )	Akira Kurosawa Category:Articles with hCards	Won Honorary Award
1954 (27th)	Gate of Hell	Jigokumon ( 地獄門 ? )	Teinosuke Kinugasa Category:Articles with hCards	Won Honorary Award
1955 (28th)	Samurai, The Legend of Musashi	Miyamoto Musashi ( 宮本武蔵 ? )	Hiroshi Inagaki Category:Articles with hCards	Won Honorary Award
1956 (29th)	Harp of Burma	Biruma no Tategoto ( ビルマの竪琴 ? )	Kon Ichikawa Category:Articles with hCards	Nominee
1957 (30th)	Aruse	Arakure ( あらくれ ? )	Mikio Naruse Category:Articles with hCards	Not Nominated
1958 (31st)	The Ballad of Narayama	Narayama Bushiko ( 楢山節考 ? )	Keisuke Kinoshita Category:Articles with hCards	Not Nominated
1959 (32nd)	Fires on the Plain	Nobi ( 野火 ? )	Kon Ichikawa Category:Articles with hCards	Not Nominated
1960 (33rd)	Late Autumn	Akibiyori ( 秋日和 ? )	Yasujirō Ozu Category:Articles with hCards	Not Nominated
1961 (34th)	Immortal Love	Eien no Hito ( 永遠の人 ? )	Keisuke Kinoshita Category:Articles with hCards	Nominee
1962 (35th)	Being Two Isn't Easy	Watashi wa ni sai ( 私は二歳 ? )	Kon Ichikawa Category:Articles with hCards	Not Nominated
1963 (36th)	Twin Sisters of Kyoto	Koto ( 古都 ? )	Noboru Nakamura Category:Articles with hCards	Nominee
1964 (37th)	Woman in the Dunes	Suna no Onna ( 砂の女 ? )	Hiroshi Teshigahara Category:Articles with hCards	Nominee
1965 (38th)	Kwaidan	Kaidan ( 怪談 ? )	Masaki Kobayashi Category:Articles with hCards	Nominee
1966 (39th)	Lake of Tears	Mizūmi no Kin ( 湖の琴 ? )	Tomotaka Tasaka Category:Articles with hCards	Not Nominated
1967 (40th)	Portrait of Chieko	Chieko-sho ( 智恵子抄 ? )	Noboru Nakamura Category:Articles with hCards	Nominee
1968 (41st)	The Sands of Kurobe	Kurobe no Taiyō ( 黒部の太陽 ? )	Kei Kumai Category:Articles with hCards	Not Nominated
1969 (42nd)	Kuragejima, Legends From a Southern Island	Kamigami no fukaki yokubō ( 神々の深き欲望 ? )	Shōhei Imamura Category:Articles with hCards	Not Nominated
1970 (43rd)	The Scandalous Adventures of Buraikan	Buraikan ( 無頼漢 ? )	Masahiro Shinoda Category:Articles with hCards	Not Nominated
1971 (44th)	Dodes'ka-den	Dodes'ka-den ( どですかでん ? )	Akira Kurosawa Category:Articles with hCards	Nominee
