Year	Competition	Venue	Position	Event
2002	European Indoor Championships	Vienna , Germany	3rd	60 m
2002	European Championships	Munich , Germany	9th	100 m
2004	World Indoor Championships	Budapest , Hungary	9th	60 m
2005	European Indoor Championships	Madrid , Spain	2nd	60 m
2006	European Championships	Gothenburg , Sweden	9th	100 m
2006	World Cup	Athens , Greece	6th	100 m
2009	European Team Championships	Leiria , Portugal	6th	100 m
2009	Mediterranean Games	Pescara , Italy	1st	100 m
2010	European Championships	Barcelona , Spain	7th	100 m
2011	European Indoor Championships	Paris , France	9th	60 m
