English translation	Original album	Lyricist(s)	Composer(s)	Time
"The Summer"	Previously unreleased	Giorgos Moukidis	Giorgos Moukidis	3:44
"Goodbye"	Previously unreleased	Giorgos Moukidis	Giorgos Moukidis	4:07
"Surrender"	Previously unreleased	Giorgos Moukidis	Giorgos Moukidis	4:03
"What Else Will I Hear"	Ena Hadi	Ilias Filippou	Kyriakos Papadopoulos	3:22
"I'm Bleeding"	Matono	Vasilis Giannopoulos	Christos Dantis	3:33
"Nowhere"	Matono	Giorgos Moukidis	Giorgos Moukidis	4:09
"I'm Fine"	Mazi Sou	Stelios Hronis	Stelios Hronis	4:03
"Meaning"	Noima	Giorgos Theofanous	Giorgos Theofanous	4:45
"A Caress"	Ena Hadi	Ilias Filippou	Kyriakos Papadopoulos	3:57
"The Last Cup"	Ena (New Edition)	Christos Dantis	Christos Dantis	4:13
"You Boldnesses and you have complaint, you?"	Vres Enan Tropo	Natalia Germanou	Petros Imvrios	3:31
"You Left"	Matono	Giorgos Moukidis	Giorgos Moukidis	3:58
"Don't Ask"	Noima	Giorgos Theofanous	Giorgos Theofanous	4:33
"One"	Ena	Vicky Gerothodorou	Takis Bougas	3:39
"We Lived"	Ena	Eleana Vrahali	Dimitris Kontopoulos	3:41
"Run"	Trekse	Eleana Vrahali	Christos Dantis	4:02
"With You"	Mazi Sou	Giorgos Moukidis	Giorgos Moukidis	3:33
"The Paths"	Matono	Vicky Gerothodorou	Antonios Vardis	5:03
"Secret"	Ena (New Edition)	Giorgos Moukidis	Giorgos Moukidis	5:44
