Date	Venue	Score 1	Comp.	Match Report
26 March	Stadionul Ghencea , Bucharest (A)	0–3	F	UEFA.com
23 May	Lokomotiv Stadium , Moscow (H)	6–0	F	UEFA.com
28 May	Wacker Arena , Burghausen , Germany (N)	2–1	F	UEFA.com
4 June	Wacker Arena , Burghausen , Germany (N)	4–1	F	UEFA.com
10 June	Tivoli-Neu Stadion , Innsbruck , Austria (N)	1–4	EURO	UEFA.com
14 June	Wals Siezenheim Stadium , Salzburg , Austria (N)	1–0	EURO	UEFA.com
18 June	Tivoli-Neu Stadion , Innsbruck , Austria (N)	2–0	EURO	UEFA.com
21 June	St. Jakob-Park , Basel , Switzerland (N)	3–1	EURO	UEFA.com
26 June	Ernst Happel Stadion , Vienna , Austria (N)	0–3	EURO	UEFA.com
20 August	Lokomotiv Stadium , Moscow (H)	1–1	F	ESPNsoccernet.com
10 September	Lokomotiv Stadium , Moscow (H)	2–1	WCQ	FIFA.com
11 October	Westfalenstadion , Dortmund (A)	1–2	WCQ	FIFA.com
15 October	Lokomotiv Stadium , Moscow (H)	3–0	WCQ	FIFA.com
