Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Winner	1974	French Open	Clay	Manuel Orantes	2–6, 6–7 (1–7) , 6–0, 6–1, 6–1
Winner	1975	French Open (2)	Clay	Guillermo Vilas	6–2, 6–3, 6–4
Winner	1976	Wimbledon	Grass	Ilie Năstase	6–4, 6–2, 9–7
Runner-up	1976	US Open	Clay	Jimmy Connors	4–6, 6–3, 6–7 (9–11) , 4–6
Winner	1977	Wimbledon (2)	Grass	Jimmy Connors	3–6, 6–2, 6–1, 5–7, 6–4
Winner	1978	French Open (3)	Clay	Guillermo Vilas	6–1, 6–1, 6–3
Winner	1978	Wimbledon (3)	Grass	Jimmy Connors	6–2, 6–2, 6–3
Runner-up	1978	US Open	Hard	Jimmy Connors	4–6, 2–6, 2–6
Winner	1979	French Open (4)	Clay	Víctor Pecci	6–3, 6–1, 6–7 (6–8) , 6–4
Winner	1979	Wimbledon (4)	Grass	Roscoe Tanner	6–7 (4–7) , 6–1, 3–6, 6–3, 6–4
Winner	1980	French Open (5)	Clay	Vitas Gerulaitis	6–4, 6–1, 6–2
Winner	1980	Wimbledon (5)	Grass	John McEnroe	1–6, 7–5, 6–3, 6–7 (16–18) , 8–6
Runner-up	1980	US Open	Hard	John McEnroe	6–7 (4–7) , 1–6, 7–6 (7–5) , 7–5, 4–6
Winner	1981	French Open (6)	Clay	Ivan Lendl	6–1, 4–6, 6–2, 3–6, 6–1
Runner-up	1981	Wimbledon	Grass	John McEnroe	6–4, 6–7 (1–7) , 6–7 (4–7) , 4–6
