No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
21	1	"See Dick Continue to Run" (Part 2)	Robert Berlinger	Bill Martin & Mike Schiff	September22,1996	201
22	2	"See Dick Continue to Run, Continued" (Part 3)	Robert Berlinger	Bill Martin & Mike Schiff	September22,1996	202
23	3	"Hotel Dick"	Robert Berlinger	Bob Kushell	September29,1996	205
24	4	"Big Angry Virgin from Outer Space"	Robert Berlinger	Christine Zander	October6,1996	203
25	5	"Much Ado About Dick"	Robert Berlinger	Michael Glouberman & Andrew Orenstein	October13,1996	204
26	6	"Dick the Vote"	Robert Berlinger	David Goetsch & Jason Venokur	October27,1996	207
27	7	"Fourth and Dick"	Robert Berlinger	Andrew Orenstein & Michael Glouberman	November3,1996	206
28	8	"World's Greatest Dick"	Robert Berlinger	David Goetsch & Jason Venokur	November10,1996	208
29	9	"My Mother the Alien"	Robert Berlinger	David M. Israel & Jim O'Doherty	November17,1996	209
30	10	"Gobble, Gobble, Dick, Dick"	Robert Berlinger	Bob Kushell & Christine Zander	November24,1996	210
31	11	"Dick Jokes"	Robert Berlinger	David M. Israel & Jim O'Doherty	December8,1996	211
32	12	"Jolly Old St. Dick"	Robert Berlinger	Bill Martin & Mike Schiff	December15,1996	212
33	13	"Proud Dick"	Robert Berlinger	David Sacks	January5,1997	213
34	14	"Romeo & Juliet & Dick"	Robert Berlinger	Bonnie Turner & Terry Turner	January12,1997	214
35	15	"Guilty As Dick"	Robert Berlinger	David Goetsch & Jason Venokur	February2,1997	215
36	16	"Dick on One Knee"	Terry Hughes	Christine Zander	February16,1997	217
37	17	"Same Old Song and Dick"	Robert Berlinger	Katy Ballard	March9,1997	216
38	18	"I Brake for Dick"	Robert Berlinger	Gregg Mettler	March16,1997	218
39	19	"Dick Behaving Badly"	Robert Berlinger	Bob Kushell	March23,1997	219
40	20	"Dickmalion"	Robert Berlinger	Andrew Orenstein & Michael Glouberman	April13,1997	220
41	21	"Sensitive Dick"	Terry Hughes	David Sacks	April27,1997	221
42	22	"Will Work for Dick"	Terry Hughes	David Goetsch & Jason Venokur	May4,1997	223
43	23	"Fifteen Minutes of Dick"	Terry Hughes	Jim O'Doherty & David M. Israel	May11,1997	222
44	24	"Dick and the Single Girl"	Terry Hughes	Mark Brazill & Christine Zander	May11,1997	224
45	25	"A Nightmare on Dick Street (Part 1)"	Terry Hughes	Bill Martin & Mike Schiff & Bob Kushell	May18,1997	225
