Year	Winner	Score	Runner(s)-up	Winner's share ($)	Course	Location
1967	Kathy Whitworth	289 (–11)	Sandra Haynie	1,500	Pekin CC	Pekin, Illinois
1966	Mickey Wright	302 (+2)	Margie Masters , Jo Ann Prentice	1,500	Rainbow Springs CC	Mukwonago, Wisconsin
1965	Susie Maxwell	290 (–2)	Marlene Hagge	1,500	Beverly CC	Chicago, Illinois
1964	Carol Mann	308 (+8)	Ruth Jessen , Judy Kimball-Simon	1,200	Scenic Hills CC	Pensacola, Florida
1963	Mickey Wright	292 (E)	Kathy Whitworth	1,200	Maple Bluff CC	Madison, Wisconsin
1962	Mickey Wright	295 (+7) PO	Mary Lena Faulk	1,200	Montgomery CC	Montgomery, Alabama
1961	Mary Lena Faulk	290 (–10)	Betsy Rawls	1,313	Belle Meade CC	Nashville, Tennessee
1960	Joyce Ziske	301 (+9) PO	Barbara Romack	1,313	Beverly CC	Chicago, Illinois
1959	Betsy Rawls	293 (+5)	JoAnne Gunderson (a), Patty Berg	1,313	Ranier G&CC	Seattle, Washington
1958	Patty Berg	293 (+1)	Beverly Hanson	950	Kahkwa CC	Erie, Pennsylvania
1957	Patty Berg	291 (–1)	Wiffi Smith	1,000	Montgomery CC	Montgomery, Alabama
1956	Beverly Hanson	304 (E)	Louise Suggs	1,000	Wakonda CC	Des Moines, Iowa
1955	Patty Berg	292 (E)	Fay Crocker , Louise Suggs	1,000	Maple Bluff CC	Madison, Wisconsin
