Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1958	Knud Aage Nielsen	Tonny Holst Christensen	Hugh Findlay Ronald Lockwood	Heather Ward Barbara Carpenter	Hugh T. Findlay Heather Ward
1960	No competition	No competition	No competition	No competition	No competition
1961	Oon Chong Teik	Ursula H. Smith	Oon Chong Teik Ole Mertz	No competition	No competition
1962 1967	No competition	No competition	No competition	No competition	No competition
1968	Lee Kin Tat	Tonny Pannemans	Lee Kin Tat Roy Díaz González	June Jacques Gerda Cairns	Leo Kountul Tony Pannemans
1969	Sture Johnsson	Imre Nielsen	David Horton Elliot Stuart	Margaret Boxall Susan Whetnall	Paul Whetnall Margaret Boxall
1970	Punch Gunalan	Joke van Beusekom	Punch Gunalan Ng Boon Bee	Joke van Beusekom Felice do Nooyer	Ng Boon Bee Sylvia Ng
1971	Tan Aik Huang	Tonny Pannemans	Punch Gunalan Ng Boon Bee	Tony Pannemans Lore Hawig	Clemens Wortel Tony Pannemans
1972	Djauhari	Joke van Beusekom	Djauhari Budinan	Barbara Lord Dorte Tyghe	Kenneth Parsons Dorte Tyghe
1973	No competition	No competition	No competition	No competition	No competition
1974	William Kerr	Alena Poborakova	William Kerr Kenneth Parsons	Alena Poboraková Tatjana Pravdová	Kenneth Parsons Alan Parsons
1975	Rob Ridder	Gussie Botes	John Abrahams Gordon McMillan	Marjan Luesken Thatcher	Alan Phillips Marianne van der Walt
1976	Karl-Heinz Zwiebler	Hanke de Kort	Ray Sharp Ray Rolfe	Hanke de Kort Marja Ravelli	Clemens Wortel Hanke de Kort
1978	No competition	No competition	No competition	No competition	No competition
1979	Ulrich Rost	Marja Ridder	Rob Ridder Piet Ridder	Hanke de Kort Marja Ridder	Rob Ridder Marjan Ridder
1980	No competition	No competition	No competition	No competition	No competition
1981	Barry Burns	Carol Liem	Ivan Kristanto Frank van Dongen	Paula Kloet Grace Kakiay	Bas von Barnau-Sijthoff Jeanette van Driel
1982	No competition	No competition	No competition	No competition	No competition
1983	Glen Milton	Wendy Massam	Peter Buch Niels Hansen	Wendy Massam Lisa Chapman	Rob Ridder Marjan Ridder
1984	Tariq Farooq	Sally Podger	Michael Fischedick Mathias Klein	Sally Podger Lena Staxler	Tsien Asjoe Jeanette van Driel
1985	Steve Baddeley	Xiao Jie	He Xiangyang Tang Hai	Eline Coene Erica van Dijck	Billy Gilliland Nora Perry
1986	Morten Frost	Astrid van der Knaap	Jens Peter Nierhoff Michael Kjeldsen	Gillian Gowers Gillian Gilks	Martin Dew Gillian Gilks
1987	Morten Frost	Christine Magnusson	Jens Peter Nierhoff Michael Kjeldsen	Kim Yun-ja Yoo Sang-hee	Steen Fladberg Gillian Clark
1988	Poul-Erik Høyer Larsen	Tang Jiuhong	Zhang Qiang Zhou Jincan	Christine Magnusson Maria Bengtsson	Jan Paulsen Gillian Gowers
1989 2004	No competition	No competition	No competition	No competition	No competition
2005	Anders Boesen	Xu Huaiwen	Ingo Kindervater Kristof Hopp	Juliane Schenk Nicole Grether	Kristof Hopp Birgit Overzier
2006	Kasper Ødum	Petra Overzier	Imanuel Hirschfeldt Imam Sodikin	Marina Yakusheva Elena Shimko	Vitaly Durkin Valerya Sorokina
2007	Marc Zwiebler	Larissa Griga	Kristof Hopp Ingo Kindervater	Natalie Munt Joanne Nicholas	Chris Langridge Joanne Nicholas
2008	Kenichi Tago	Juliane Schenk	Andrew Bowman Martyn Lewis	Valeria Sorokina Nina Vislova	Nina Vislova Vitaly Durkin
2009	Marc Zwiebler	Yao Jie	Ruud Bosch Koen Ridder	Misaki Matsutomo Ayaka Takahashi	Heather Olver Marcus Ellis
2010	Marc Zwiebler	Juliane Schenk	Ingo Kindervater Johannes Schöttler	Sandra Marinello Birgit Overzier	Michael Fuchs Birgit Overzier
2011	Brice Leverdez	Olga Konon	Adam Cwalina Michal Logosz	Shinta Mulia Sari Yao Lei	Chayut Triyachart Yao Lei
2012	Andre Kurniawan Tedjono	Sashina Vignes Waran	Adam Cwalina Koen Ridder	Selena Piek Iris Tabeling	Marcus Ellis Gabrielle White
2013	Andre Kurniawan Tedjono	Febby Angguni	Anders Skaarup Rasmussen Kim Astrup Sorensen	Imogen Bankier Petya Nedelcheva	Anders Skaarup Rasmussen Lena Grebak
