Club	City	Stadium	Capacity	2007–08 season
U.S. Alessandria Calcio 1912	Alessandria	Stadio Giuseppe Moccagatta	8,182	1st in Serie D/A
Pol. Alghero	Alghero	Stadio Mariotti	5,000	4th in Serie D/G
F.C. Canavese	San Giusto Canavese	Stadio Franco Cerutti	1,200	6th in Serie C2/A
A.C. Carpenedolo	Carpenedolo	Stadio Mundial '82	2,500	2nd in Serie C2/A
Calcio Como	Como	Stadio Giuseppe Sinigaglia	13,602	1st Serie D/B
U.S. Itala San Marco	Gradisca d'Isonzo	Stadio Gino Colaussi	4,000	1st Serie D/C
U.S. Ivrea Calcio	Ivrea	Stadio Gino Pistoni	3,500	8th in Serie C2/A
A.C. Mezzocorona	Mezzocorona (playing in Trento )	Stadio Briamasco	4,227	5th in Serie C2/A
A.C. Montichiari	Montichiari	Stadio Romeo Menti	2,500	2nd in Serie D/D
Olbia Calcio	Olbia	Stadio Bruno Nespoli	8,000	10th in Serie C2/A
A.C. Pavia	Pavia	Stadio Pietro Fortunati	6,000	15th in Serie C2/A
A.S. Pizzighettone	Pizzighettone	Stadio Comunale	2,500	18th in Serie C2/A
U.S. Pro Vercelli Calcio	Vercelli	Stadio Silvio Piola	6,165	7th in Serie C2/A
A.C. Rodengo Saiano	Rodengo-Saiano	Stadio Comunale	2,500	3rd in Serie C2/A
A.C. Sambonifacese	San Bonifacio	Stadio Renzo Tizian	1,450	3rd in Serie D/C
F.C. Südtirol	Bolzano	Stadio Marco Druso	3,000	12th in Serie C2/A
Valenzana Calcio	Valenza	Stadio Comunale	2,200	17th in Serie C2/A
A.S. Varese 1910	Varese	Stadio Franco Ossola	10,000	11th in Serie C2/A
