Location (State, City)	USN 2013	BW 2013	Forbes 2011	Ec 2013	FT 2011	AE 2011	CNN 2011	BI 2013	ARWU 2012
Alabama, Auburn	75	1000	1000	1000	1000	1000	1000	1000	1000
North Carolina, Winston-Salem	47	44	30	1000	78	1000	1000	1000	1000
Pennsylvania, Philadelphia	1000	1000	1000	1000	1000	1000	1000	1000	76
Illinois, Chicago	6	1	2	1	12	10	7	25	2
Massachusetts, Boston	40	39	61	49	68	58	1000	10	35
Massachusetts, Waltham	1000	1000	1000	92	1000	1000	1000	1000	1000
Ohio, Cincinnati	99	1000	1000	1000	1000	1000	1000	1000	151
Minnesota, Minneapolis	23	33	28	65	1000	1000	1000	1000	14
Massachusetts, Chestnut Hill	40	47	53	1000	74	1000	1000	1000	51
New York, New York City	8	14	7	7	7	7	9	4	5
Texas, Dallas	52	29	25	79	88	51	49	1000	101
Florida, Winter Park	107	1000	46	1000	1000	1000	1000	1000	1000
Alabama, Tuscaloosa	58	1000	1000	1000	1000	1000	1000	1000	151
Virginia, Charlottesville	12	10	9	4	41	26	1000	30	51
Utah, Salt Lake City	61	1000	1000	1000	1000	1000	1000	1000	76
Louisiana, Baton Rouge	61	1000	64	1000	1000	1000	1000	1000	151
New York, Henrietta	63	1000	1000	1000	1000	1000	1000	1000	1000
Michigan, East Lansing	43	35	19	1000	1000	1000	1000	34	30
Arizona, Tucson	44	49	60	1000	1000	1000	1000	1000	76
Ohio, Columbus	27	27	34	51	72	1000	1000	31	28
New York, New York City	79	58	55	1000	1000	1000	1000	1000	151
Washington, Seattle	23	37	36	35	86	1000	1000	36	26
Pennsylvania, Philadelphia	58	1000	73	89	1000	1000	1000	1000	151
Massachusetts, Wellesley	56	42	44	1000	84	19	1000	40	1000
Louisiana, New Orleans	67	1000	52	1000	1000	1000	1000	1000	1000
North Carolina, Durham	11	6	8	20	20	21	1000	5	21
Georgia, Atlanta	27	23	43	1000	59	1000	1000	1000	76
Georgia, Atlanta	18	22	22	28	38	32	35	39	51
California, Malibu	96	1000	74	1000	92	1000	1000	1000	1000
California, Berkeley	7	13	13	6	25	24	11	16	4
Texas, Waco	70	1000	1000	1000	1000	1000	1000	1000	1000
Massachusetts, Boston	1	2	3	5	3	1	1	1	1
Washington, D.C.	91	59	1000	1000	1000	1000	1000	1000	1000
Massachusetts, Cambridge	1000	1000	1000	29	61	1000	1000	1000	1000
Iowa, Ames	70	1000	1000	1000	1000	1000	1000	1000	76
Massachusetts, Amherst	51	1000	1000	1000	1000	1000	1000	1000	101
