Player	Height	Position	Year born (Age)	Current Club
Jean Abdel-Nour	1.98	SF	November 29, 1983 (age30)	Bluestars
Mazen Mneimneh	1.92	SG	February 1, 1986 (age28)	Sporting Al Riyadi Beirut
Ali Mahmoud	1.82	PG	May 28, 1983 (age30)	Sporting Al Riyadi Beirut
Rony Fahed	1.84	PG	November 6, 1981 (age32)	Sagesse Beirut
Omar El Turk	1.84	PG	September 30, 1981 (age32)	Sporting Al Riyadi Beirut
Brian Anthony Beshara Feghali	2.04	SF/PF	December 30, 1977 (age36)	Al Moutahed Tripoli
Roy Samaha	2.05	C	September 12, 1984 (age29)	Al Moutahed Tripoli
Bassem Balaa	1.98	F	July 10, 1981 (age32)	Bluestars
Ali Fakhreddine	2.02	PF/C	April 3, 1983 (age30)	Sporting Al Riyadi Beirut
Sabah Khoury	1.96	SG	November 10, 1982 (age31)	Sagesse Beirut
Hussein Tawbe	1.95	PF	July 16, 1982 (age31)	Sporting Al Riyadi Beirut
Fadi El Khatib	1.98	SG/SF	January 1, 1979 (age35)	Sporting Al Riyadi Beirut
