Player	Nationality	Jersey Number(s)	Position	Years	From
Jim Farmer Category:Articles with hCards	United States	21	PG / SG	1990	Alabama
Noel Felix Category:Articles with hCards	United States	16	PF	2006	Fresno State
Al Fleming Category:Articles with hCards	United States	30	F	1978	Arizona
Alphonso Ford Category:Articles with hCards	United States	3	SG	1994	Mississippi Valley State
Jake Ford Category:Articles with hCards	United States	33	G	1970 – 1972	Maryland Eastern Shore
Sherell Ford Category:Articles with hCards	United States	1	SF	1995–1996	Illinois (Chicago)
Joseph Forte Category:Articles with hCards	United States	40	SG	2002–2003	North Carolina
Danny Fortson Category:Articles with hCards	United States	21	PF	2004 – 2007	Cincinnati
Greg Foster Category:Articles with hCards	United States	44	PF / C	1999–2000	UTEP
Jim Fox Category:Articles with hCards	United States	31	PF / C	1972 – 1975	South Carolina
