Week	Date	Opponent	Result	Attendance
1	September 26, 1954	at San Francisco 49ers	L 41-7	32,085
2	October 2, 1954	at Pittsburgh Steelers	L 37-7	22,492
3	October 10, 1954	New York Giants	L 51-21	21,217
4	October 17, 1954	Philadelphia Eagles	L 49-21	22,051
5	October 24, 1954	at New York Giants	L 24-7	22,597
6	October 31, 1954	Baltimore Colts	W 24-21	23,567
7	November 7, 1954	at Cleveland Browns	L 62-3	25,158
8	November 14, 1954	Pittsburgh Steelers	W 17-14	19,388
9	November 21, 1954	at Chicago Cardinals	L 38-16	15,619
10	November 28, 1954	at Philadelphia Eagles	L 41-33	18,517
11	December 5, 1954	Cleveland Browns	L 34-14	21,761
12	December 12, 1954	Chicago Cardinals	W 37-20	18,107
