UN Operation name	UN Operation title	Location	Dates of Australian involvement	Number of Australians involved	Australian role
None	UN Consular Commission	Indonesia	1947	4	Military observers
UNCOK	UN Commission on Korea	Korea	1950	2	Military observers
UNMOGIP	UN Military Observer Group in India and Pakistan	Kashmir	1950–1985	Up to 18	Military observers and air transport
UNTSO	UN Truce Supervision Organization	Israel and neighbouring Middle East countries	1956–present	Up to 13. Estimated 700 total	Military observers
UNYOM	UN Yemen Observation Mission	Yemen	1963	2	Military observers
UNIPOM	UN India-Pakistan Observation Mission	India and Pakistan	1965–1966	3; 1 seconded from UNTSO, 2 seconded from UNMOGIP	Military observers
UNDOF	UN Disengagement Observer Force	Israel and Syria	1974	Several redeployed from UNTSO. None currently	Military observers
UNEF II	UN Emergency Force II	Sinai	1976–1979	46 RAAF detachment operating 4 UH-1 helicopters	Ceasefire monitoring between Israel and Egypt
UNIFIL	UN Interim Force in Lebanon	Lebanon	1978	A few through detachment from UNTSO	Military observers
UNIIMOG	UN Iran-Iraq Military Observer Group	Iran and Iraq	1988–1990	Up to 16 in Iran only	Military observers
UNBRO	UN Border Relief Operation	Thailand / Cambodia border	1989–1993	2 Federal Police	Law and order, and police training
UNTAG	UN Transition Assistance Group	Namibia	1989–1990	613 in two rotations; 28 electoral supervisors	Engineering support and election supervision
UNAMIC	UN Advance Mission in Cambodia	Cambodia	1991–1992	65	Military observers, signals and support
UNTAC	UN Transitional Authority in Cambodia	Cambodia	1992–1993	Up to 1,215 ADF personnel	Force Communications Unit
UNOSOM I	UN Operation in Somalia	Somalia	1992–1993	30	Movement control unit
UNAMIR II	UN Assistance Mission for Rwanda	Rwanda	1994–1995	More than 600 in 2 contingents	Medical, infantry protection, support troops
ONUMOZ	UN Operation in Mozambique	Mozambique	1994	15 police, 4 ADF	Police and demining
MINUGUA	UN Verification Mission in Guatemala	Guatemala	1997	1	Military observer
UNAMET	UN Mission in East Timor	East Timor	1999	50 police, 6 military liaison officers	Facilitating referendum
UNTAET	UN Transitional Administration in East Timor	East Timor	2000–2002	Up to 2,000	maintaining security, facilitating reconstruction
UNMEE	United Nations Mission in Ethiopia and Eritrea	Ethiopia and Eritrea	2000–present	2 ADF officers, 16 in total	Training mission personnel and mapping
UNMISET	UN Mission of Support in East Timor	East Timor	2002–2005	Up to 1,600	Maintaining security, facilitating reconstruction
UNAMA	UN Assistance Mission in Afghanistan	Afghanistan	2003–2004	1	Military advisor
