Pick	Player	Position	Nationality	NHL team	College/junior/club team
157	Matt O'Dette	Defence	Canada	Florida Panthers	Kitchener Rangers (OHL)
158	Rocky Welsing	Defence	United States	Anaheim Ducks	Wisconsin Capitols (USHL)
159	Doug Sproule	Left Wing	United States	Ottawa Senators	Hotchkiss Academy (HS-Connecticut)
160	Curtis Sheptak	Defence	Canada	Edmonton Oilers	Olds Grizzlys (AJHL)
161	Serge Aubin	Centre/Left Wing	Canada	Pittsburgh Penguins	Granby Bisons (QMJHL)
162	Dimitrius Sulba	Right Wing	Russia	Edmonton Oilers	Tivali Minsk ( Belarus )
163	Luc Gagne	Right Wing	Canada	Los Angeles Kings	Sudbury Wolves (OHL)
164	Chris Maillet	Defence	Canada	Tampa Bay Lightning	Red Deer Rebels (WHL)
165	Calvin Elfring	Defence	Canada	Quebec Nordiques	Powell River Paper Kings (BCJHL)
166	Colin Forbes	Left Wing	Canada	Philadelphia Flyers	Portland Winterhawks (WHL)
167	Sergei Gorbachev	Right Wing	Russia	San Jose Sharks	Dynamo Moscow (Russia)
168	Steve Plouffe	Goaltender	Canada	Buffalo Sabres	Granby Bisons (QMJHL)
169	Yuri Kuznetsov	Centre	Russia	Vancouver Canucks	Omsk Avangard (Russia)
170	Tyler Prosofsky	Right Wing	Canada	Chicago Blackhawks	Tacoma Rockets (WHL)
171	Dan Reja	Left Wing	Canada	Washington Capitals	London Knights (OHL)
172	Roman Vopat	Centre	Czech Republic	St. Louis Blues	HC Litvínov (Czech Republic)
173	Shane Hnidy	Defence	Canada	Buffalo Sabres	Prince Albert Raiders (WHL)
174	Jesse Rezansoff	Right Wing	Canada	Montreal Canadiens	Regina Pats (WHL)
175	Ladislav Kohn	Right Wing	Czech Republic	Calgary Flames	Swift Current Broncos (WHL)
176	Steve Webb	Right Wing	Canada	Buffalo Sabres	Peterborough Petes (OHL)
177	Jeremy Schaefer	Left Wing	Canada	Boston Bruins	Medicine Hat Tigers (WHL)
178	Tommi Rajamaki	Defence	Finland	Toronto Maple Leafs	Assat (Finland)
179	Chris Wickenheiser	Goaltender	Canada	Edmonton Oilers	Red Deer Rebels (WHL)
180	Drew Palmer	Defence	United States	Pittsburgh Penguins	Seattle Thunderbirds (WHL)
181	Jeff Williams	Left Wing	Canada	New Jersey Devils	Guelph Storm (OHL)
182	Olexei Lazarenko	Right Wing	Ukraine	N.Y. Rangers	CSKA Moscow (Russia)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
