Name	Years	Area	Authority	Decile	Roll
Albany School	1–6	Albany	State	10	620
City Impact Church School (Primary)	1–8	Pinehill	Private	n/a	114
Greenhithe School	1–6	Greenhithe	State	10	567
Hobsonville School	1–8	Hobsonville	State	9	602
Hobsonville Point Primary School	1–8	Hobsonville	State	9	37
Marina View School	1–8	West Harbour	State	9	709
Oteha Valley School	1–6	Pinehill	State	9	358
Pinehill School	1–6	Pinehill	State	10	503
Ridgeview School	1–6	Paremoremo	State	10	75
Timatanga Community School	1–8	Whenuapai	State integrated	7	18
Upper Harbour Primary School	1–6	Wainoni	State	10	478
Westminster Christian School	1–8	Unsworth Heights	State integrated	9	236
Whenuapai School	1–8	Whenuapai	State	10	476
