Date	Internet Explorer	Firefox	Safari	Opera
October 2013	28.96%	18.11%	8.54%	1.20%
September 2013	28.56%	18.36%	8.52%	1.16%
August 2013	25.55%	19.25%	8.57%	1.16%
July 2013	24.53%	20.09%	8.59%	1.10%
June 2013	25.44%	20.01%	8.39%	1.03%
May 2013	27.72%	19.76%	7.96%	1.00%
April 2013	29.71%	20.06%	8.00%	1.01%
March 2013	29.30%	20.87%	8.60%	1.17%
February 2013	29.82%	21.34%	8.60%	1.22%
January 2013	30.71%	21.42%	8.29%	1.19%
December 2012	30.78%	21.89%	7.92%	1.26%
November 2012	31.23%	22.37%	7.83%	1.39%
October 2012	32.08%	22.32%	7.81%	1.63%
September 2012	32.70%	22.40%	7.70%	1.61%
August 2012	32.85%	22.85%	7.39%	1.63%
July 2012	32.04%	23.73%	7.12%	1.72%
June 2012	32.31%	24.56%	7.00%	1.77%
May 2012	32.12%	25.55%	7.09%	1.77%
April 2012	34.07%	24.87%	7.13%	1.72%
March 2012	34.81%	24.98%	6.72%	1.78%
February 2012	35.75%	24.88%	6.77%	2.02%
January 2012	37.45%	24.78%	6.62%	1.95%
December 2011	38.65%	25.27%	6.08%	1.98%
November 2011	40.63%	25.23%	5.92%	1.82%
October 2011	40.18%	26.39%	5.93%	1.81%
September 2011	41.66%	26.79%	5.60%	1.72%
August 2011	41.89%	27.49%	5.19%	1.67%
July 2011	42.45%	27.95%	5.17%	1.66%
June 2011	43.58%	28.34%	5.07%	1.74%
May 2011	43.87%	29.29%	5.01%	1.84%
April 2011	44.52%	29.67%	5.04%	1.91%
March 2011	45.11%	29.98%	5.02%	1.97%
February 2011	45.44%	30.37%	5.08%	2.00%
January 2011	46.00%	30.68%	5.09%	2.00%
December 2010	46.94%	30.76%	4.79%	2.07%
November 2010	48.16%	31.17%	4.70%	2.01%
October 2010	49.21%	31.24%	4.56%	2.00%
September 2010	49.87%	31.50%	4.42%	2.03%
August 2010	51.34%	31.09%	4.23%	1.88%
July 2010	52.68%	30.69%	4.09%	1.91%
June 2010	52.86%	31.15%	4.07%	1.91%
May 2010	52.77%	31.64%	4.14%	1.96%
April 2010	53.26%	31.74%	4.23%	1.82%
March 2010	54.44%	31.27%	4.16%	1.97%
February 2010	54.50%	31.82%	4.08%	1.97%
January 2010	55.25%	31.64%	3.76%	2.00%
December 2009	55.72%	31.97%	3.48%	2.06%
November 2009	56.57%	32.21%	3.67%	2.02%
October 2009	57.96%	31.82%	3.47%	1.88%
September 2009	58.37%	31.34%	3.28%	2.62%
August 2009	58.69%	31.28%	3.25%	2.67%
July 2009	60.11%	30.50%	3.02%	2.64%
June 2009	59.49%	30.26%	2.91%	3.46%
May 2009	62.09%	28.75%	2.65%	3.23%
April 2009	61.88%	29.67%	2.75%	2.96%
March 2009	62.52%	29.40%	2.73%	2.94%
February 2009	64.43%	27.85%	2.59%	2.95%
January 2009	65.41%	27.03%	2.57%	2.92%
December 2008	67.84%	25.23%	2.41%	2.83%
November 2008	68.14%	25.27%	2.49%	3.01%
October 2008	67.68%	25.54%	2.91%	2.69%
September2008	67.16%	25.77%	3.00%	2.86%
August 2008	68.91%	26.08%	2.99%	1.83%
July 2008	68.57%	26.14%	3.30%	1.78%
