Date	Opponent	Venue	Result	Attendance
25 August 1990	Dunfermline Athletic	H	3–1	39,951
1 September 1990	Hibernian	A	0–0	17,500
8 September 1990	Heart of Midlothian	A	3–1	22,101
15 September 1990	Celtic	H	1–1	38,543
22 September 1990	Dundee United	A	1–2	16,270
29 September 1990	Motherwell	H	1–0	34,863
6 October 1990	Aberdeen	A	0–0	19,500
13 October 1990	St. Mirren	H	5–0	38,031
20 October 1990	St. Johnstone	A	0–0	10,054
3 November 1990	Hibernian	H	4–0	35,925
10 November 1990	Dundee United	H	1–2	36,995
17 November 1990	Motherwell	A	4–2	16,457
20 November 1990	Dunfermline Athletic	A	1–0	14,480
25 November 1990	Celtic	A	2–1	52,565
1 December 1990	Heart of Midlothian	H	4–0	37,623
8 December 1990	St. Johnstone	H	4–1	34,610
15 December 1990	St. Mirren	A	3–0	15,197
22 December 1990	Aberdeen	H	2–2	37,998
29 December 1990	Dundee United	A	2–1	17,564
2 January 1991	Celtic	H	2–0	38,399
5 January 1991	Heart of Midlothian	A	1–0	20,956
12 January 1991	Dunfermline Athletic	H	2–0	35,120
19 January 1991	Hibernian	A	2–0	15,500
9 February 1991	St. Mirren	H	1–0	31,769
16 February 1991	Motherwell	H	2–0	32,192
26 February 1991	St. Johnstone	A	1–1	10,721
2 March 1991	Aberdeen	A	0–1	22,500
9 March 1991	Heart of Midlothian	H	2–1	36,128
24 March 1991	Celtic	A	0–3	52,000
30 March 1991	Dunfermline Athletic	A	1–0	14,256
6 April 1991	Hibernian	H	0–0	35,507
13 April 1991	St. Johnstone	H	3–0	35,930
20 April 1991	St. Mirren	A	1–0	18,473
24 April 1991	Dundee United	H	1–0	32,397
4 May 1991	Motherwell	A	0–3	17,672
11 May 1991	Aberdeen	H	2–0	37,652
