Title	English translation	lyrics by	music by	time
"Hayırsız"	Scapegrace	Candan Erçetin	Macedon anonymous	4:31
"Neden"	Why?	Candan Erçetin	anonymous	4:02
"Gamsız Hayat"	Carefree life	Aylin Atalay & Candan Erçetin	Candan Erçetin	3:50
"Parçalandım"	I break into pieces	Candan Erçetin	Alper Erinç & Candan Erçetin	3:57
"Anlatma Sakın"	Don't tell	Sinan	Candan Erçetin	3:36
"Bensiz"	Without me	Sinan	Neslihan Engin & Candan Erçetin	3:17
"Yapayalnız"	Very lonely	Aylin Atalay	Candan Erçetin	4:13
"Mühim Değil"	It's OK.	Sinan	Neslihan Engin & Candan Erçetin	4:13
"Ben Böyleyim"	This is the way I am	Ümit Aksu	Armando Manzanero	3:44
"Korkarım"	I'm afraid	Aylin Atalay	Candan Erçetin & Neslihan Engin	3:17
"Dünya Hali"	Nature of world	Candan Erçetin	Candan Erçetin	3:37
"Yüksek Yüksek Tepelere"	To high hills	anonymous	anonymous	4:08
