Date	City	Country	Venue	Time
20 October 1999	Sheffield	England	Sheffield Arena	Evening
22 October 1999	Glasgow	Scotland	SECC	Evening
23 October 1999	Glasgow	Scotland	SECC	Matinee
23 October 1999	Glasgow	Scotland	SECC	Evening
24 October 1999	Glasgow	Scotland	SECC	Evening
26 October 1999	Sheffield	England	Sheffield Arena	Evening
27 October 1999	Cardiff	Wales	Cardiff International Arena	Evening
28 October 1999	Cardiff	Wales	Cardiff International Arena	Evening
30 October 1999	Manchester	England	Manchester Evening News Arena	Evening
31 October 1999	Manchester	England	Manchester Evening News Arena	Matinee
31 October 1999	Manchester	England	Manchester Evening News Arena	Evening
2 November 1999	Birmingham	England	Birmingham NEC	Evening
3 November 1999	Birmingham	England	Birmingham NEC	Evening
4 November 1999	London	England	Wembley Arena	Evening
5 November 1999	London	England	Wembley Arena	Evening
7 November 1999	Manchester	England	Manchester Evening News Arena	Evening
23 November 1999	Manchester	England	Manchester Evening News Arena	Evening
24 November 1999	Manchester	England	Manchester Evening News Arena	Evening
26 November 1999	London	England	Wembley Arena	Evening
27 November 1999	London	England	Wembley Arena	Matinee
27 November 1999	London	England	Wembley Arena	Evening
29 November 1999	Sheffield	England	Sheffield Arena	Evening
30 November 1999	Newscastle	England	Newcastle Arena	Evening
1 December 1999	Newscastle	England	Newcastle Arena	Evening
2 December 1999	Newscastle	England	Newcastle Arena	Evening
3 December 1999	Newscastle	England	Newcastle Arena	Evening
6 December 1999	Glasgow	Scotland	SECC	Evening
7 December 1999	Glasgow	Scotland	SECC	Evening
8 December 1999	Glasgow	Scotland	SECC	Evening
10 December 1999	Dublin	Ireland	The Point	Evening
11 December 1999	Dublin	Ireland	The Point	Evening
12 December 1999	Belfast	Northern Ireland	King's Hall	Evening
13 December 1999	Belfast	Northern Ireland	King's Hall	Evening
