English	Scots	West Frisian	Afrikaans	Dutch	Dutch ( Limburgish )	Low German	Low German ( Groningen )	Middle German ( Luxemburgish )	German	Yiddish	Gothic
apple	aiple	apel	appel	appel	appel	Appel	Abbel	Apel	Apfel	עפל / epl	aplus
board	buird	board	bord	bord	bórdj/telleur	Boord	Bred	Briet	Brett	ברעט / bret	baúrd
beech	beech	boeke	beuk	beuk	beuk	Boeoek / Böök	Beukenboom	Bich	Buche	–	bōka/-bagms
book	beuk	boek	boek	boek	book	Book	Bouk	Buch	Buch	בוך / bukh	bōka
breast	breest	boarst	bors	borst	boors	Bost	Bôrst	Broscht	Brust	ברוסט / brust	brusts
brown	broun	brún	bruin	bruin	broen	bruun	broen	brong	braun	ברוין / broyn	bruns
day	day	dei	dag	dag	daag	Dag	Dag	Do	Tag	טאג / tog	dags
dead	deid	dea	dood	dood	doed	dood	dood	dout	tot	טויט / toyt	dauþs
die (starve)	dee	stjerre	sterf	sterven	stèrve	sterven / starven / döen	staarven	stierwen	sterben	שטארבן / shtarbn	diwan
enough	eneuch	genôch	genoeg	genoeg	genóg	noog	genog	genuch	genug	גענוג / genug	ganōhs
finger	finger	finger	vinger	vinger	veenger	Finger	Vinger	Fanger	Finger	פינגער / finger	figgrs
give	gie	jaan	gee	geven	geve	geven	geven	ginn	geben	געבן / gebn	giban
glass	gless	glês	glas	glas	glaas	Glas	Glas	Glas	Glas	גלאז / gloz	–
gold	gowd	goud	goud	goud	goud / góldj	Gold	Gold	–	Gold	גאלד / gold	gulþ
good	guid	gód	goed	goed	good	good	goud	gutt	gut	גוט / gut	gōþ(is)
hand	haund	hân	hand	hand	hand	Hand	Haand	Hand	Hand	האנט / hant	handus
head	heid	holle	hoof / kop	hoofd / kop	háubiþ	höfuð	høvd / høvur	huvud	hoved	hode	hovud
high	heich	heech	hoog	hoog	hoeg	hoog	hoog / höch	héich	hoch	הויך / hoykh	háuh
home	hame	hiem	heim / tuis	heem, heim / thuis	thoes	Tohuus / heem	Thoes	Heem	Heim(at)	היים / heym	háimōþ
hook / crook	heuk	hoek	haak	haak	haok	Haak	Hoak	Krop / Kramp	Haken	האק / hak	kramppa
house	hoose	hûs	huis	huis	hoes	Huus	Hoes	Haus	Haus	הויז / hoyz	hūs
many	mony	mannich / mennich	baie / menige	menig	minnig	Mennig	Ìnde	–	manch	מאנכע / mankhe	manags
moon	muin	moanne	maan	maan	maon	Maan	Moan	Mound	Mond	–	mēna
night	nicht	nacht	nag	nacht	nach	Nach / Nacht	Nacht	Nuecht	Nacht	נאכט / nakht	nótt
no (nay)	nae	nee	nee	nee(n)	nei	nee	nee / nai	nee(n)	nee / nein / nö	ניין / neyn	nē
old (but: elder, eldest)	auld	âld	oud	oud	aajt (old) / gammel (decayed)	old / gammelig	old / olleg	aalt	alt	אלט / alt	sineigs
one	ane	ien	een	een	ein	een	aine	een	eins	איין / eyn	áins
ounce	unce	ûns	ons	ons	óns	Ons	Onze	–	Unze	–	unkja
snow	snaw	snie	sneeu	sneeuw	sjnie	Snee	Snij / Snèj	Schlue	Schnee	שניי / shney	snáiws
stone	stane	stien	steen	steen	stein	Steen	Stain	Steen	Stein	שטיין / shteyn	stáins
that	that	dat	daardie / dit	dat / die	dat / tot	dat / dit	dat / dij	dat	das	דאס / dos	þata
two / twain	twa	twa	twee	twee	twie	twee	twij / twèje	zoo / zwou / zwéin	zwei/zwo	צוויי / tsvey	twái
who	wha	wa	wie	wie	wee	wokeen	wel	wien	wer	ווער / ver	Ƕas / hwas
worm	wirm	wjirm	wurm	worm	weurm	Worm	Wörm	Wuerm	Wurm / Made	ווארעם / vorem	maþa
English	Scots	West Frisian	Afrikaans	Dutch	Dutch ( Limburgish )	Low German	Low German ( Groningen )	Middle German ( Luxemburgish )	German	Yiddish	Gothic
