Race Name	Circuit	Date	Winning driver	Constructor	Report
X Gran Premio Ciudad de Buenos Aires	Mendoza	5 February	Juan Manuel Fangio	Lancia - Ferrari	Report
IV Glover Trophy	Goodwood	2 April	Stirling Moss	Maserati	Report
VI Gran Premio di Siracusa	Syracuse	15 April	Juan Manuel Fangio	Lancia - Ferrari	Report
XI BARC Aintree 200	Aintree	21 April	Stirling Moss	Maserati	Report
VII BRDC International Trophy	Silverstone	5 May	Stirling Moss	Vanwall	Report
IX Gran Premio di Napoli	Posillipo	6 May	Robert Manzon	Gordini	Report
I Aintree 100	Aintree	24 June	Horace Gould	Maserati	Report
I Vanwall Trophy	Snetterton	22 July	Roy Salvadori	Maserati	Report
IV Grand Prix de Caen	Caen	26 August	Harry Schell	Maserati	Report
II Sussex Trophy	Goodwood	8 September	Roy Salvadori	Cooper - Climax	Report
I BRSCC Formula 1 Race	Brands Hatch	14 October	Archie Scott Brown	Connaught - Alta	Report
