Position	Club	Games played	Wins	Draws	Loses	Goals scored	Goals conceded	Points
1	Polonija Vilnius	30	27	0	3	97	16	81
2	Sūduva Marijampolė	30	22	1	7	93	42	67
3	Kauno Jėgeriai	30	19	5	6	83	30	62
4	Tauras Tauragė	30	17	7	6	57	39	58
5	Lietava Jonava	30	16	4	10	70	40	52
6	Žalgiris-2 Vilnius	30	11	7	12	37	35	40
7	Interas Visaginas	30	11	6	13	29	38	39
8	Vienybė Ukmergė	30	11	5	14	54	67	38
9	Kareda Kaunas	30	10	5	15	35	49	35
10	Babrungas Plungė	30	9	7	14	34	60	34
11	Nevėžis-2 Kėdainiai	30	11	1	18	45	62	34
12	Laisvė Šilutė	30	10	4	16	44	59	34
13	Krazantė Kelmė	30	11	1	18	38	81	34
14	Banga Gargždai	30	9	3	17	45	50	33
15	Utenis Utena	30	7	4	19	30	69	25
16	Kratonas Kalvarija	30	7	2	21	51	105	23
