Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
33	January 2	San Antonio	L 80–91 (OT)	Hakim Warrick (16)	Marc Gasol (11)	FedExForum 12,597	10–23
34	January 4	Dallas	W 102–82 (OT)	O. J. Mayo (21)	Hakim Warrick , Rudy Gay (7)	FedExForum 11,731	11–23
35	January 6	Minnesota	L 87–94 (OT)	Hakim Warrick (22)	O. J. Mayo (8)	FedExForum 10,156	11–24
36	January 7	@ New Jersey	L 89–100 (OT)	O. J. Mayo (26)	Marc Gasol (10)	Izod Center 11,552	11–25
37	January 9	@ Toronto	L 82–103 (OT)	Rudy Gay (22)	Darrell Arthur (7)	Air Canada Centre 18,486	11–26
38	January 13	Cleveland	L 87–102 (OT)	Kyle Lowry (25)	Marc Gasol (11)	FedExForum 15,121	11–27
39	January 16	Utah	L 91–101 (OT)	O. J. Mayo (23)	Marc Gasol (10)	FedExForum 10,422	11–28
40	January 19	Detroit	L 79–87 (OT)	Rudy Gay , O. J. Mayo (15)	Marc Gasol (13)	FedExForum 17,483	11–29
41	January 21	@ Charlotte	L 86–101 (OT)	Rudy Gay (26)	Marc Gasol (6)	Time Warner Cable Arena 11,249	11–30
42	January 23	@ New York	L 88–108 (OT)	Rudy Gay (20)	Rudy Gay (9)	Madison Square Garden 18,391	11–31
43	January 24	New Jersey	L 88–99 (OT)	O. J. Mayo (23)	Marc Gasol (10)	FedExForum 12,817	11–32
44	January 27	Denver	L 85–100 (OT)	O. J. Mayo (19)	Hakim Warrick (10)	FedExForum 11,338	11–33
45	January 28	@ Oklahoma City	L 102–114 (OT)	Rudy Gay (25)	Rudy Gay , Darrell Arthur (8)	Ford Center 18,450	11–34
46	January 31	L.A. Lakers	L 98–115 (OT)	Rudy Gay (23)	Hakim Warrick , Darrell Arthur (7)	FedExForum 18,119	11–35
