Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Winner	18 September 2000	Greenville , United States	Clay	Evgenia Subbotina	Kristy Blumberg Elizabeth Schmidt	6-2, 6-2
Winner	25 September 2000	Raleigh , United States	Clay	Evgenia Subbotina	Anne Plessinger Jacqueline Trail	7-5, 6-1
Runner-up	3 February 2002	Wellington ,New Zealand	Hard	Sarah Stone	Chan Chin-wei Chuang Chia-jung	6–4 6–7 (3–7) 2–6
Winner	11 March 2002	Benalla , Australia	Grass	Sarah Stone	Casey Dellacqua Svenja Weidemann	7-5 6-1
Winner	23 March 2002	Bendigo , Australia	Grass	Sarah Stone	Rochelle Rosenfield Madita Suer	3-6 7-5 6-3
Winner	4 August 2002	Dublin , Ireland	Grass	Anna Hawkins	Rebecca Rankin Visnja Vuletic	6–2 7–5
Winner	25 August 2002	Westende , Belgium	Clay	Leslie Butkiewicz	Valeria Bondarenko Edita Liachoviciute	6–1 7–6 (7–4)
Runner-up	21 September 2003	Sunderland , England	Hard	Kim Kilsdonk	Claire Curran Helena Ejeson	2–6 1–6
Winner	28 September 2003	Glasgow , Scotland	Hard	Kim Kilsdonk	Leanne Baker Francesca Lubiani	7–5 6–2
Runner-up	03 February 2004	Wellington , New Zealand	Grass	Emily Hewson	Shelley Stephens Kristen Van Elden	1–6 6–3 3–6
Runner-up	21 March 2004	Yarrawonga , Australia	Grass	Emily Hewson	Beti Sekulovski Cindy Watson	3–6 6–4 4–6
Winner	28 March 2004	Yarrawonga , Australia	Grass	Emily Hewson	Mirielle Dittmann Kristen Van Elden	6–3 6–2
Runner-up	9 May 2004	Fukuoka , Japan	Carpet	Monique Adamczak	Rika Fujiwara Saori Obata	2–6 4–6
Runner-up	17 October 2004	Mackay , Australia	Hard	Monique Adamczak	Daniella Dominikovic Evie Dominikovic	W/O
Runner-up	20 March 2005	Yarrawonga , Australia	Grass	Emily Hewson	Lara Picone Julia Efremova	4–6 3–6
Runner-up	17 March 2006	Canberra , Australia	Clay	Leanne Baker	Monique Adamczak Christina Horiatopoulos	6-7, 1-6
Winner	25 June 2006	Fort Worth , USA	Hard	Christina Fusano	Maria-Victoria Domina Story Tweedie-Yates	2–6 6–4 6–1
Winner	23 July 2006	Hamilton , Canada	Clay	Story Tweedie-Yates	Soledad Esperón Aleksandra Wozniak	6–4 6–1
Winner	6 August 2006	Vancouver , Canada	Hard	Story Tweedie-Yates	Jennifer Magley Courtney Nagle	7–5 6–3
Winner	8 October 2006	Troy , USA	Hard	Leanne Baker	Chanelle Scheepers Neha Uberoi	6–7 (1–7) 7–5 6–3
Winner	29 October 2006	Augusta , USA	Hard	Leanne Baker	Chanelle Scheepers Neha Uberoi	7–6 (7–3) 6–1
Runner-up	19 November 2006	Port Pirie , Australia	Hard	Christina Horiatopoulos	Natalie Grandin Raquel Kops-Jones	2–6 1–6
Winner	7 April 2007	Pelham , USA	Clay	Carly Gullickson	Michaela Paštiková Hana Šromová	6–2 2–6 6–0
Runner-up	13 May 2007	Catania , Italy	Clay	Leanne Baker	Debbrich Feys Darya Kustova	4–6 4–6
Winner	7 February 2008	Mildura , Australia	Grass	Marina Erakovic	Monique Adamczak Christina Wheeler	6–4 6–4
Winner	17 February 2008	Berri , Australia	Grass	Marina Erakovic	Shannon Golds Emelyn Starr	2–6 7–6 (7–4) [10–3]
Winner	13 July 2008	Allentown , USA	Hard	Carly Gullickson	Chin-Wei Chan Natalie Grandin	6–2 6–3
Winner	2 August 2008	Vancouver , Canada	Hard	Carly Gullickson	Christina Fusano Junri Namigata	6–7 (4–7) 6–1 [10–5]
Winner	3 May 2009	Charlottesville , USA	Clay	Carly Gullickson	Angela Haynes Alina Jidkova	7–5 3–6 [10–7]
Runner-up	18 July 2009	Carson , USA	Hard	Monique Adamczak	Laura Granville Riza Zalameda	3–6 4–6
Winner	24 July 2009	Kharkiv , Ukraine	Clay	Monique Adamczak	Kristina Antoniychuk Irina Buryachok	6–3 7–6 (7–4)
Winner	14 August 2009	Koksijde , Belgium	Clay	Shannon Golds	Johanna Larsson Anna Smith	7–6 (7–3) 6–2
Winner	18 September 2009	Darwin , Australia	Clay	Alicia Molik	Tyra Calderwood Olivia Rogowska	6–3 6–4
Winner	3 October 2009	Hamanako , Japan	Carpet	Carly Gullickson	Yayuk Basuki I-Hsuan Hwang	4–6 7–6 (7–2) [10–5]
Runner-up	3 April 2010	Pelham , USA	Clay	Chin-Wei Chan	Mallory Cecil Jamie Hampton	4–6 3–6
