Season	Player	Nationality	Team	Points	Average	Played
1985	Wilfredo Ruiz	Uruguay	Estudiantes (BB)	1117	32.9	34
1986	Wilfredo Ruiz	Uruguay	Estudiantes (BB)	1008	31.5	32
1987	Wilfredo Ruiz	Uruguay	Estudiantes (BB)	913	30.4	30
1988	Luis González	Argentina	Atlético Echagüe	896	28.9	31
1989	Héctor Campana	Argentina	River Plate	1041	29.7	35
1990	Héctor Campana	Argentina	River Plate	1148	44.2	26
1990–91	Héctor Campana	Argentina	G.E.P.U.	1448	31.5	46
1991–92	Héctor Campana	Argentina	Atenas	1360	27.8	49
1992–93	Juan Espil	Argentina	G.E.P.U.	1672	28.8	58
1993–94	Andrew Moten	United States	Gimnasia y Esgrima (CR)	896	29.9	30
1994–95	Juan Espil	Argentina	Atenas	1470	28.8	51
1995–96	Juan Espil	Argentina	Atenas	1782	31.3	57
1996–97	Charlie Burke	United States	Pico F.C.	1088	29.4	37
1997–98	Corey Allen	United States	Pico F.C.	1415	28.9	49
1998–99	John Eubanks	United States	Estudiantes (O)	1060	25.9	41
1999–00	John Eubanks	United States	Estudiantes (O)	1514	27.5	55
2000–01	Joseph Bunn	United States	Peñarol (MdP)	1208	25.2	48
2001–02	Joseph Bunn	United States	Atenas	625	26.0	24
2002–03	Joshua Pittman	United States	Quilmes (MdP)	626	26.1	24
2003–04	Joseph Bunn	United States	Peñarol (MdP)	1209	32.7	37
2004–05	Paolo Quinteros	Argentina	Boca Juniors	1232	22.4	55
2005–06	Joseph Bunn	United States	Peñarol (MdP)	1371	28.6	48
2006–07	Clarence Robinson	United States	Quilmes (MdP)	981	20.4	48
2007–08	Leonardo Gutiérrez	Argentina	Boca Juniors	993	20.7	48
2008–09	Edward Nelson	United States	Estudiantes (BB)	946	20.1	47
2009–10	David Jackson	United States	La Unión	927	18.9	49
2010–11	Joseph Bunn	United States	Argentino de Junín	882	19.6	45
2011–12	Joseph Troy Smith	United States	Club La Unión	745	17.3	43
