Rank	Nation	Gold	Silver	Bronze	Total
1	China	37	20	9	66
2	Russia	23	18	18	59
3	South Korea	17	7	6	30
4	Germany	12	16	11	39
—	Mixed-NOCs	12	11	14	37
5	Japan	10	10	12	32
6	Ukraine	9	10	15	34
7	Cuba	9	3	2	14
8	Australia	8	13	10	31
9	France	8	4	12	24
10	Italy	7	11	6	24
11	Austria	7	4	6	17
12	United States	6	12	11	29
13	Hungary	6	6	5	17
14	Netherlands	5	3	3	11
15	Azerbaijan	5	3	0	8
16	Canada	5	2	14	21
17	Thailand	4	3	0	7
18	Sweden	4	2	3	9
19	Slovenia	3	4	3	10
20	Great Britain	3	2	5	10
21	Israel	3	2	0	5
22	Switzerland	3	1	7	11
23	Kenya	3	0	3	6
24	Lithuania	3	0	1	4
25	Norway	2	5	3	10
26	South Africa	2	4	3	9
27	Kazakhstan	2	3	4	9
28	Czech Republic	2	3	3	8
29	Brazil	2	3	1	6
30	Colombia	2	3	0	5
30	Ethiopia	2	3	0	5
32	Belgium	2	2	2	6
32	Egypt	2	2	2	6
32	Finland	2	2	2	6
35	Iran	2	2	1	5
36	Nigeria	2	0	2	4
37	Bulgaria	2	0	1	3
38	Mongolia	2	0	0	2
39	Spain	1	4	6	11
40	Romania	1	4	2	7
41	Turkey	1	3	6	10
42	Slovakia	1	2	3	6
43	Argentina	1	2	2	5
44	New Zealand	1	2	1	4
45	North Korea	1	1	3	5
46	Latvia	1	1	2	4
46	Vietnam	1	1	2	4
48	Croatia	1	1	1	3
48	Denmark	1	1	1	3
48	Serbia	1	1	1	3
51	Poland	1	0	5	6
52	Kyrgyzstan	1	0	2	3
53	Dominican Republic	1	0	1	2
53	Eritrea	1	0	1	2
53	Morocco	1	0	1	2
56	Bolivia	1	0	0	1
56	Chile	1	0	0	1
56	Ireland	1	0	0	1
56	U.S. Virgin Islands	1	0	0	1
56	Jamaica	1	0	0	1
56	Puerto Rico	1	0	0	1
56	Trinidad and Tobago	1	0	0	1
56	Uruguay	1	0	0	1
64	India	0	6	2	8
65	Belarus	0	5	1	6
66	Chinese Taipei	0	3	0	3
67	Uzbekistan	0	2	5	7
68	Singapore	0	2	4	6
69	Venezuela	0	2	3	5
70	Estonia	0	2	0	2
70	Malaysia	0	2	0	2
72	Mexico	0	1	5	6
73	Armenia	0	1	3	4
73	Greece	0	1	3	4
75	Jordan	0	1	1	2
75	Moldova	0	1	1	2
75	Portugal	0	1	1	2
75	Tajikistan	0	1	1	2
79	Bahamas	0	1	0	1
79	Cyprus	0	1	0	1
79	Ecuador	0	1	0	1
79	Equatorial Guinea	0	1	0	1
79	Haiti	0	1	0	1
79	Hong Kong	0	1	0	1
79	Nauru	0	1	0	1
79	Pakistan	0	1	0	1
79	Qatar	0	1	0	1
88	Netherlands Antilles	0	0	1	1
88	Andorra	0	0	1	1
88	Bosnia and Herzegovina	0	0	1	1
88	Cambodia	0	0	1	1
88	Georgia	0	0	1	1
88	Guatemala	0	0	1	1
88	Indonesia	0	0	1	1
88	Saudi Arabia	0	0	1	1
88	Kuwait	0	0	1	1
88	Lebanon	0	0	1	1
88	Monaco	0	0	1	1
88	Peru	0	0	1	1
88	Turkmenistan	0	0	1	1
88	Uganda	0	0	1	1
Total	Total	265	262	284	811
