Tie no	Home team	Score	Away team	Date
1	Ely City	2–6	Torquay United	17 November 1956
2	Chester	0–0	Barrow	17 November 1956
Replay	Barrow	3–1	Chester	22 November 1956
3	Darlington	7–2	Evenwood Town	17 November 1956
4	Bournemouth & Boscombe Athletic	8–0	Burton Albion	17 November 1956
5	Southampton	2–0	Northampton Town	17 November 1956
6	Weymouth	1–0	Shrewsbury Town	17 November 1956
7	Yeovil Town	1–3	Peterborough United	17 November 1956
8	Walsall	0–1	Newport County	17 November 1956
9	Crewe Alexandra	2–2	Wrexham	17 November 1956
Replay	Wrexham	2–1	Crewe Alexandra	21 November 1956
10	Derby County	2–1	Bradford City	17 November 1956
11	Swindon Town	2–1	Coventry City	17 November 1956
12	Bishop Auckland	2–1	Tranmere Rovers	17 November 1956
13	Ipswich Town	4–0	Hastings United	17 November 1956
14	Queens Park Rangers	4–0	Dorchester Town	17 November 1956
15	Accrington Stanley	4–1	Morecambe	17 November 1956
16	Brentford	3–0	Guildford City	17 November 1956
17	Brighton & Hove Albion	1–1	Millwall	17 November 1956
Replay	Millwall	3–1	Brighton & Hove Albion	19 November 1956
18	Rhyl	3–2	Scarborough	17 November 1956
19	Norwich City	2–4	Bedford Town	17 November 1956
20	Hull City	4–0	Gateshead	17 November 1956
21	Carlisle United	6–1	Billingham Synthonia	17 November 1956
22	Crystal Palace	2–0	Walthamstow Avenue	17 November 1956
23	Exeter City	0–2	Plymouth Argyle	17 November 1956
24	Yiewsley	2–2	Gillingham	17 November 1956
Replay	Gillingham	2–0	Yiewsley	21 November 1956
25	Hartlepools United	3–1	Selby Town	17 November 1956
26	Scunthorpe & Lindsey United	1–0	Rochdale	17 November 1956
27	Mansfield Town	1–1	Workington	17 November 1956
Replay	Workington	2–1	Mansfield Town	21 November 1956
28	Halifax Town	2–3	Oldham Athletic	17 November 1956
29	Margate	3–1	Dunstable Town	17 November 1956
30	Cheltenham Town	1–2	Reading	17 November 1956
31	Southport	0–0	York City	17 November 1956
Replay	York City	2–1	Southport	21 November 1956
32	New Brighton	3–3	Stockport County	17 November 1956
Replay	Stockport County	2–3	New Brighton	21 November 1956
33	Hereford United	3–2	Aldershot	17 November 1956
34	Newport (IOW)	0–6	Watford	17 November 1956
35	Tooting & Mitcham United	2–1	Bromsgrove Rovers	17 November 1956
36	Wigan Athletic	1–2	Goole Town	17 November 1956
37	Boston United	0–2	Bradford Park Avenue	17 November 1956
38	South Shields	2–2	Chesterfield	17 November 1956
Replay	Chesterfield	4–0	South Shields	21 November 1956
39	Colchester United	1–4	Southend United	17 November 1956
40	Ilkeston Town	1–5	Blyth Spartans	17 November 1956
