Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
28	January 3	Philadelphia 76ers	W 127-99	D. McKey (24)	M. Cage (12)	G. Payton (11)	Seattle Center Coliseum 13,048	13-15
29	January 4	Miami Heat	W 112-86	S. Threatt (30)	M. Cage (13)	G. Payton (12)	Seattle Center Coliseum 12,074	14-15
30	January 6	@ Portland Trail Blazers	L 111-114	S. Kemp (25)	S. Kemp (9)	G. Payton (7)	Memorial Coliseum 12,884	14-16
31	January 8	Los Angeles Lakers	W 96-88	D. McKey (29)	O. Polynice (11)	N. McMillan (10)	Seattle Center Coliseum 14,441	15-16
32	January 10	Golden State Warriors	L 103-113	D. McKey (19)	S. Kemp , O. Polynice (12)	N. McMillan (7)	Seattle Center Coliseum 10,813	15-17
33	January 12	@ Sacramento Kings	L 85-101	D. McKey (20)	O. Polynice (14)	G. Payton (9)	ARCO Arena 17,014	15-18
34	January 15	Denver Nuggets	W 146-99	D. Barros , D. Ellis (22)	S. Kemp (12)	N. McMillan (9)	Seattle Center Coliseum 9,618	16-18
35	January 18	@ Los Angeles Lakers	L 96-105	D. McKey (24)	S. Kemp (8)	G. Payton (11)	Great Western Forum 17,505	16-19
36	January 19	Washington Bullets	W 111-89	O. Polynice (27)	S. Kemp (13)	N. McMillan (8)	Seattle Center Coliseum 13,369	17-19
37	January 22	Milwaukee Bucks	W 132-101	E. Johnson (29)	M. Cage (9)	G. Payton (9)	Seattle Center Coliseum 9,469	18-19
38	January 25	@ Phoenix Suns	L 113-128	E. Johnson (25)	S. Kemp (13)	N. McMillan (7)	Arizona Veterans Memorial Coliseum 14,487	18-20
39	January 26	Atlanta Hawks	W 103-102	D. McKey (23)	D. McKey (8)	N. McMillan , G. Payton (9)	Seattle Center Coliseum 12,792	19-20
40	January 28	@ San Antonio Spurs	L 107-119	E. Johnson (21)	D. McKey (14)	G. Payton (11)	HemisFair Arena 15,908	19-21
41	January 29	@ Dallas Mavericks	L 112-117	D. McKey (24)	O. Polynice (6)	N. McMillan (8)	Reunion Arena 15,820	19-22
42	January 31	@ Houston Rockets	W 97-94	S. Threatt (18)	S. Kemp (17)	D. McKey , D. McKey (6)	The Summit 14,659	20-22
