Nat.	Name	Moving from	Type	Transfer window	Ends
HUN	Filkor	Grosseto	Loan End	Summer	2010
BRA	Adriano	São Paulo	Loan End	Summer	2010
ITA	Acquafresca	Cagliari	Co-ownership Termination	Summer	undisclosed
ITA	Bonucci	Treviso	Co-ownership Termination	Summer	undisclosed
ARG	Crespo	Free Agent	Transfer	Summer	undisclosed
BRA	Mancini	Roma	Transfer	Summer	2012
CHI	Jiménez	Ternana	Co-ownership	Summer	2011
GHA	Muntari	Portsmouth	Transfer	Summer	2012
POR	Quaresma	Porto	Transfer	Summer	2012
NGA	Victor Obinna	Chievo	Transfer	Summer	2012
ITA	Bonucci	Treviso	Loan Return	Winter	undisclosed
BEL MAR	Maaroufi	Twente	Loan Return	Winter	2009
ITA	Viviano	Brescia	Co-ownership	Winter	undisclosed
