Tie no	Home team	Score	Away team	Date
1	Nelson	1–1	York City	13 December 1930
Replay	York City	3–2	Nelson	18 December 1930
2	Watford	3–1	Luton Town	13 December 1930
3	Walsall	4–0	Newport County	13 December 1930
4	Gillingham	1–3	Aldershot	13 December 1930
5	Crewe Alexandra	2–4	Queens Park Rangers	13 December 1930
6	Gainsborough Trinity	0–4	Southport	13 December 1930
7	Scarborough	6–4	Lincoln City	13 December 1930
8	Doncaster Rovers	0–1	Notts County	13 December 1930
9	Wellington Town	2–4	Wrexham	13 December 1930
10	Fulham	4–0	Halifax Town	13 December 1930
11	Accrington Stanley	0–1	Torquay United	13 December 1930
12	Brentford	1–0	Norwich City	13 December 1930
13	Bristol Rovers	4–2	Stockport County	13 December 1930
14	Carlisle United	4–2	Tunbridge Wells Rangers	13 December 1930
15	Crystal Palace	6–0	Newark Town	13 December 1930
16	Exeter City	1–1	Coventry City	13 December 1930
Replay	Coventry City	1–2	Exeter City	18 December 1930
17	Gateshead	3–2	Folkestone	13 December 1930
