Player	Position	Round	Pick	NFL Club
Robert Gallery	Tackle	1	2	Oakland Raiders
Chad Greenway	Linebacker	1	17	Minnesota Vikings
Bob Sanders	Free Safety	2	44	Indianapolis Colts
Matt Roth	Defensive End	2	46	Miami Dolphins
Jonathan Babineaux	Defensive Tackle	2	59	Atlanta Falcons
Nate Kaeding	Kicker	3	65	San Diego Chargers
Abdul Hodge	Linebacker	3	67	Green Bay Packers
Sean Considine	Strong Safety	4	102	Philadelphia Eagles
Scott Chandler	Tight End	4	129	San Diego Chargers
Jared Clauss	Defensive Tackle	7	230	Tennessee Titans
Erik Jensen	Tight End	7	237	St. Louis Rams
