Series #	Title	Directed by	Written by	Original air date	Prod. code
75 (1)	"My Spy"	Don Scardino	Becky Mode Tom Straw	September 29, 1999	401
76 (2)	"The Wedding"	Don Scardino	Nick LeRose Becky Mode	October 6, 1999	402
77 (3)	"Book 'Em, Griff O"	Tim Ryder	Becky Mode J.J. Paulsen	October 13, 1999	403
78 (4)	"Lucas Apocalypse"	Don Scardino	Becky Mode John Rogers	October 20, 1999	404
79 (5)	"A Teacher's Life"	Don Scardino	Matt Karis Becky Mode	October 27, 1999	405
80 (6)	"There's Something About Hilton"	Don Scardino	Nick LeRose Becky Mode	November 3, 1999	406
81 (7)	"Superstar"	Don Scardino	Nick LeRose Becky Mode Tom Reeder	November 17, 1999	407
82 (8)	"The Parent Trap"	Don Scardino	Matt Karis Becky Mode	December 15, 1999	408
83 (9)	"One for the Books"	Don Scardino	Becky Mode Tom Reeder	December 22, 1999	409
84 (10)	"Loving Madeline"	Tim Ryder	Becky Mode	December 29, 1999	410
85 (11)	"The Hilton Hilton"	Tim Ryder	Becky Mode	January 14, 2000	411
86 (12)	"Chilly Scenes of Winter Golf"	Don Scardino	Tyrone Fitch Becky Mode Tom Purcell	January 21, 2000	412
87 (13)	"To Catch a Thief"	Tim Ryder	Becky Mode	January 28, 2000	413
88 (14)	"Raising Paranoia"	Don Scardino	Becky Mode Tom Straw	March 3, 2000	414
89 (15)	"It's a Wonderful Wife"	John Whitesell	Becky Mode Tom Reeder Tom Straw	March 10, 2000	415
90 (16)	"Perfect Valentine"	Tim Ryder	Karen Maser Becky Mode	March 31, 2000	416
91 (17)	"A Pair of Threes Beats a Flush Every Time"	Don Scardino	Becky Mode Tom Straw	April 7, 2000	417
92 (18)	"Thursday's Child"	John Whitesell	Tyrone Fitch Becky Mode	April 14, 2000	418
93 (19)	"Kids Eat the Darndest Things"	John Whitesell	Becky Mode Kriss Turner	April 14, 2000	419
94 (20)	"A Long Night's Journey"	Don Scardino	Sean Francis Becky Mode	April 21, 2000	420
