Date	Location	Country	Event	Winner	Runner-up
February 27-March 11	Gold Coast	Australia	Quiksilver Pro	Mick Fanning ( AUS )	Bede Durbidge ( AUS )
April 3-April 13	Bells Beach	Australia	Rip Curl Pro	Taj Burrow ( AUS )	Andy Irons ( HAW )
May 4-May 14	Teahupoo , Tahiti	French Polynesia	Billabong Pro	Damien Hobgood ( USA )	Mick Fanning ( AUS )
June 20-July 1	Arica	Chile	Rip Curl Pro Search	Andy Irons ( HAW )	Damien Hobgood ( USA )
June 11-July 22	Jeffreys Bay	South Africa	Billabong Pro	Taj Burrow ( AUS )	Kelly Slater ( USA )
September 9-September 15	Trestles	United States	Boost Mobile Pro	Kelly Slater ( USA )	Pancho Sullivan ( HAW )
September 20-September 30	Hossegor	France	Quiksilver Pro	Mick Fanning ( AUS )	Greg Emslie ( RSA )
October 1-October 14	Mundaka	Spain	Billabong Pro	Bobby Martinez ( USA )	Taj Burrow ( AUS )
October 30-November 7	Santa Catarina	Brazil	Hang Loose Pro	Mick Fanning ( AUS )	Kai Otton ( AUS )
December 8-December 20	Pipeline , Hawaii	United States	Billabong Pipeline Masters	Bede Durbidge ( AUS )	Dean Morrison ( AUS )
