Season	Series	Races	Poles	Wins	Points	Final Placing
2003	Formula Renault Monza Winter Series	2	0	0	18	8th
2004	Formula Renault Monza	16	3	5	375	1st
2004	Formula Junior 1600 Spain	9	6	4	119	1st
2004	Formula Renault 1600 Belgium	4	0	1	65	11th
2005	Austrian Fomula Three Championship	7	6	3	75	1st
2005	British Formula Three	5	0	0	0	NC
2005	Formula Renault 2.0 Italia	0	0	0	0	NC
2005	Recaro Formel 3 Cup	3	1	0	0	NC
2006	Formula Three Euroseries	19	0	0	12	15th
2006	British Formula Three	2	0	0	0	NC
2006	Masters of Formula Three	1	0	0	N/A	13th
2007	Formula Renault 3.5 Series	14	0	0	0	NC
2007	Formula Three Euroseries	2	0	0	0	NC
2008	GP2 Asia Series	8	0	0	0	23rd
2008	GP2 Series	13	0	0	0	30th
2008–09	GP2 Asia Series	11	0	0	0	33rd
2009	GP2 Series	20	0	0	0	23rd
2009	Formula Renault 3.5 Series	6	0	0	7	23rd
2009–10	GP2 Asia Series	8	0	0	7	13th
2010	GP2 Series	20	0	0	12	16th
2011	GP2 Asia Series	4	0	0	9	8th
2011	GP2 Series	18	0	0	1	21st
