Round	Circuit	Date	Pole Position	Fastest Lap	Winning driver	Winning team
1	Donington Park	6 April	Jamie Green	Alan van der Merwe	Jamie Green	Carlin Motorsport
2	Donington Park	6 April	Jamie Green	Jamie Green	Jamie Green	Carlin Motorsport
3	Snetterton	20 April	Alan van der Merwe	Richard Antinucci	Alan van der Merwe	Carlin Motorsport
4	Snetterton	20 April	Alan van der Merwe	Richard Antinucci	Alan van der Merwe	Carlin Motorsport
5	Croft	4 May	Will Davison	Will Davison	Will Davison	Alan Docking Racing
6	Croft	4 May	Alan van der Merwe	Alan van der Merwe	Alan van der Merwe	Carlin Motorsport
7	Knockhill	11 May	Clivio Piccione	Clivio Piccione	Clivio Piccione	Manor Motorsport
8	Knockhill	11 May	Nelson Ângelo Piquet	Nelson Ângelo Piquet	Nelson Ângelo Piquet	Piquet Sports
9	Silverstone	25 May	Nelson Ângelo Piquet	Nelson Ângelo Piquet	Nelson Ângelo Piquet	Piquet Sports
10	Silverstone	26 May	Nelson Ângelo Piquet	Alan van der Merwe	Alan van der Merwe	Carlin Motorsport
11	Castle Combe	22 June	Danny Watts	Adam Carroll	Alan van der Merwe	Carlin Motorsport
12	Castle Combe	22 June	Danny Watts	Danny Watts	Danny Watts	Hitech Racing
13	Oulton Park	13 July	Nelson Ângelo Piquet	Danny Watts	Alan van der Merwe	Carlin Motorsport
14	Oulton Park	13 July	Nelson Ângelo Piquet	Alan van der Merwe	Alan van der Merwe	Carlin Motorsport
15	Rockingham	3 August	Nelson Ângelo Piquet	Nelson Ângelo Piquet	Nelson Ângelo Piquet	Piquet Sports
16	Rockingham	3 August	Jamie Green	Nelson Ângelo Piquet	Jamie Green	Carlin Motorsport
17	Thruxton	17 August	Danny Watts	Robert Dahlgren	Robert Dahlgren	Fortec Motorsport
18	Thruxton	17 August	Eric Salignon	Eric Salignon	Jamie Green	Carlin Motorsport
19*	Spa-Francorchamps	30 August	Alan van der Merwe	Jamie Green	Alan van der Merwe	Carlin Motorsport
20	Spa-Francorchamps	31 August	Robert Doornbos	Jamie Green	Alan van der Merwe	Carlin Motorsport
21	Donington Park	6 September	Alan van der Merwe	Nelson Ângelo Piquet	Nelson Ângelo Piquet	Piquet Sports
22	Donington Park	7 September	Rob Austin	Jamie Green	Rob Austin	Menu Motorsport
23	Brands Hatch	28 September	Nelson Ângelo Piquet	Robert Doornbos	Nelson Ângelo Piquet	Piquet Sports
