Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Pos.
2003	British Formula Three season	Promatecme UK / Team SYR	24	0	0	0	0	30.5	16th
2004	British Formula Three season	Menu F3 Motorsport / P1 Racing	24	0	0	0	1	49	12th
2005	GP2 Series	DAMS	23	0	0	0	0	0	24th
2005–06	A1 Grand Prix	A1 Team Malaysia	4	0	0	0	0	8	5th (1)
2006	GP2 Series	Super Nova Racing	21	0	0	0	0	0	25th
2007	Formula One	Spyker F1	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2007–08	A1 Grand Prix	A1 Team Malaysia	6	0	0	0	0	7	15th (1)
2008	GP2 Asia Series	Super Nova Racing	10	1	0	1	3	24	4th
2008–09	A1 Grand Prix	A1 Team Malaysia	12	1	1	1	3	43	6th (1)
2009	Formula Renault 3.5 Series	Mofaz Racing	17	1	1	1	5	98	2nd
2010	Formula One	Lotus Racing	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2011	GP2 Asia Series	Super Nova Racing	4	0	0	0	0	1	14th
2011	GP2 Series	Super Nova Racing	18	0	0	0	0	5	18th
2011	Formula One	Lotus Renault GP	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2011	Formula Renault 3.5 Series	Mofaz Racing	4	0	0	0	1	15	16th
