Date	Opponent	Score	Loss	Attendance	Record
April 2	White Sox	7 - 4	Colón (0-1)	42,606	0-1
April 4	White Sox	8 - 4	Eldred (0-1)	32,763	1-1
April 6	Orioles	4 - 3	Mercedes (0-1)	32,738	2-1
April 7	Orioles	4 - 2 (11)	Reed (0-1)	40,704	2-2
April 8	Orioles	4 - 3	Maduro (0-1)	40,754	3-2
April 9	@ White Sox	9 - 2	Finley (1-1)	21,242	3-3
April 10	@ White Sox	8 - 7	Shuey (0-1)	12,465	3-4
April 11	@ White Sox	7 - 6	Burba (0-1)	12,693	3-5
April 12	@ Tigers	5 - 3	Holt (1-1)	15,639	4-5
April 13	@ Tigers	9 - 8	Weaver (1-2)	20,334	5-5
April 14	@ Tigers	1 - 0	Finley (1-2)	23,119	5-6
April 15	@ Tigers	Postponed (rain) Rescheduled for July 28	Postponed (rain) Rescheduled for July 28	Postponed (rain) Rescheduled for July 28	Postponed (rain) Rescheduled for July 28
April 17	@ Orioles	8 - 1	Mercedes (0-3)	28,679	6-6
April 18	@ Orioles	4 - 1	Hentgen (0-2)	28,801	7-6
April 19	@ Orioles	11 - 5	McElroy (0-1)	34,100	8-6
April 20	Tigers	5 - 4	Nitkowski (0-1)	33,127	9-6
April 21	Tigers	5 - 4 (11)	Jones (0-2)	42,068	10-6
April 22	Tigers	11 - 3	Mlicki (0-2)	34,125	11-6
April 24	Angels	7 - 2	Colón (2-2)	31,942	11-7
April 25	Angels	3 - 1	Sabathia (2-1)	31,396	11-8
April 26	Angels	6 - 5	Hasegawa (1-2)	29,427	12-8
April 27	Rangers	11 - 9	Drew (0-1)	40,320	12-9
April 28	Rangers	7 - 3	Helling (1-4)	41,147	13-9
April 29	Rangers	9 - 2	Davis (2-2)	40,132	14-9
