Year	Entrant	Chassis	Engine	Pts.
1950	Ecurie Belge	Talbot-Lago T26C	Talbot L6	0
1951	Ecurie Belge	Talbot-Lago T26C-DA	Talbot L6	0
1952	Equipe Gordini	Gordini T16	Gordini L6	0
1952	Ecurie Belge	Simca - Gordini T15	Simca - Gordini L4	0
1952	HW Motors	HWM 52	Alta L4	0
1952	Vicomtesse de Walckiers	Simca - Gordini T15	Simca - Gordini L4	0
1953	Ecurie Belge	Connaught Type A	Lea-Francis L4	0
1953	Officine Alfieri Maserati	Maserati A6GCM	Maserati L6	0
1955	Stirling Moss Ltd.	Maserati 250F	Maserati L6	0
1955	Equipe Nationale Belge	Ferrari 500	Ferrari L4	0
