Driver	Constructor	Laps	Time/Retired	Grid
Dan Gurney	Brabham - Climax	57	2:07:49.1	2
Graham Hill	BRM	57	+ 24.1	6
Jack Brabham	Brabham - Climax	57	+ 24.9	5
Peter Arundell	Lotus - Climax	57	+ 1:10.6	4
Richie Ginther	BRM	57	+ 2:12.1	9
Bruce McLaren	Cooper - Climax	56	+ 1 lap	7
Phil Hill	Cooper - Climax	56	+ 1 lap	10
Mike Hailwood	Lotus - BRM	56	+ 1 lap	13
Lorenzo Bandini	Ferrari	55	+ 2 laps	8
Chris Amon	Lotus - BRM	53	+ 4 laps	14
Maurice Trintignant	BRM	52	+ 5 laps	16
Bob Anderson	Brabham - Climax	50	+ 7 laps	15
Innes Ireland	BRP - BRM	32	Accident	11
Jim Clark	Lotus - Climax	31	Engine	1
John Surtees	Ferrari	6	Engine	3
Trevor Taylor	BRP - BRM	6	Accident	12
Jo Siffert	Brabham - BRM	4	Clutch	17
