Position	Club	Played	Wins	Draws	Losses	Goals for	Goals against	Points	Goal Difference
1	JFK Olimps Rīga	30	26	2	2	111	15	80	+96
2	FC Ditton-2 Daugavpils	30	21	7	2	88	24	70	+64
3	Skonto-2 Riga	30	20	5	5	78	23	65	+55
4	Ventspils-2	30	20	4	6	108	25	64	+83
5	Rīga-2	30	17	3	10	74	44	54	+30
6	Dinaburg-Zemessardze Daugavpils	30	16	3	17	60	51	51	+9
7	FK Valmiera	30	13	7	10	50	53	46	-3
8	Liepajas Metalurgs-2	30	13	6	11	68	47	45	+21
9	FK Jelgava	30	12	6	12	53	49	42	+4
10	Eirobaltija Riga	30	11	7	12	50	40	40	+10
11	Jūrmala-2	30	10	5	15	86	74	35	+12
12	Tranzīts Ventspils	30	8	4	18	37	88	28	-51
13	Multibanka Riga	30	7	6	17	34	58	27	-24
14	FK Auda Kekava	30	5	2	23	28	79	17	-51
15	Alberts Riga	30	4	4	22	32	114	16	-82
16	Abuls Smiltene	30	1	1	28	18	191	4	-173
