Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Mild Seven Benetton Renault	Benetton - Renault	B195	Renault RS7 3.0 V10	G	Michael Schumacher	All
Mild Seven Benetton Renault	Benetton - Renault	B195	Renault RS7 3.0 V10	G	Johnny Herbert	All
Nokia Tyrrell Yamaha	Tyrrell - Yamaha	023	Yamaha OX10C 3.0 V10	G	Ukyo Katayama	1–13, 15–17
Nokia Tyrrell Yamaha	Tyrrell - Yamaha	023	Yamaha OX10C 3.0 V10	G	Gabriele Tarquini	14
Nokia Tyrrell Yamaha	Tyrrell - Yamaha	023	Yamaha OX10C 3.0 V10	G	Mika Salo	All
Rothmans Williams Renault	Williams - Renault	FW17 FW17B	Renault RS7 3.0 V10	G	Damon Hill	All
Rothmans Williams Renault	Williams - Renault	FW17 FW17B	Renault RS7 3.0 V10	G	David Coulthard	All
Marlboro McLaren Mercedes	McLaren - Mercedes	MP4/10 MP4/10B MP4/10C	Mercedes FO 110 3.0 V10	G	Mark Blundell	1–2, 5–17
Marlboro McLaren Mercedes	McLaren - Mercedes	MP4/10 MP4/10B MP4/10C	Mercedes FO 110 3.0 V10	G	Nigel Mansell	3–4
Marlboro McLaren Mercedes	McLaren - Mercedes	MP4/10 MP4/10B MP4/10C	Mercedes FO 110 3.0 V10	G	Mika Häkkinen	1–14, 16–17
Marlboro McLaren Mercedes	McLaren - Mercedes	MP4/10 MP4/10B MP4/10C	Mercedes FO 110 3.0 V10	G	Jan Magnussen	15
Footwork Hart	Footwork - Hart	FA16	Hart 830 3.0 V8	G	Gianni Morbidelli	1–7, 15–17
Footwork Hart	Footwork - Hart	FA16	Hart 830 3.0 V8	G	Max Papis	8–14
Footwork Hart	Footwork - Hart	FA16	Hart 830 3.0 V8	G	Taki Inoue	All
MTV Simtek Ford	Simtek - Ford	S951	Ford EDB 3.0 V8	G	Domenico Schiattarella	1–5
MTV Simtek Ford	Simtek - Ford	S951	Ford EDB 3.0 V8	G	Jos Verstappen	1–5
Total Jordan Peugeot B&H Total Jordan Peugeot	Jordan - Peugeot	195	Peugeot A10 3.0 V10	G	Rubens Barrichello	All
Total Jordan Peugeot B&H Total Jordan Peugeot	Jordan - Peugeot	195	Peugeot A10 3.0 V10	G	Eddie Irvine	All
Pacific Grand Prix	Pacific - Ford	PR02	Ford EDC 3.0 V8	G	Bertrand Gachot	1–8, 15–17
Pacific Grand Prix	Pacific - Ford	PR02	Ford EDC 3.0 V8	G	Giovanni Lavaggi	9–12
Pacific Grand Prix	Pacific - Ford	PR02	Ford EDC 3.0 V8	G	Jean-Denis Délétraz	13–14
Pacific Grand Prix	Pacific - Ford	PR02	Ford EDC 3.0 V8	G	Andrea Montermini	All
Junior Larrousse F1	Larrousse - Ford	LH95	Ford	G	Christophe Bouchut	None
Junior Larrousse F1	Larrousse - Ford	LH95	Ford	G	Érik Comas	None
Parmalat Forti Ford	Forti - Ford	FG01	Ford EDD 3.0 V8	G	Pedro Diniz	All
Parmalat Forti Ford	Forti - Ford	FG01	Ford EDD 3.0 V8	G	Roberto Moreno	All
Minardi Scuderia Italia	Minardi - Ford	M195	Ford EDM 3.0 V8	G	Pierluigi Martini	1–9
Minardi Scuderia Italia	Minardi - Ford	M195	Ford EDM 3.0 V8	G	Pedro Lamy	10–17
Minardi Scuderia Italia	Minardi - Ford	M195	Ford EDM 3.0 V8	G	Luca Badoer	All
Ligier Gitanes Blondes	Ligier - Mugen-Honda	JS41	Mugen-Honda MF-301 3.0 V10	G	Aguri Suzuki	1–3, 9, 15–16
Ligier Gitanes Blondes	Ligier - Mugen-Honda	JS41	Mugen-Honda MF-301 3.0 V10	G	Martin Brundle	4–8, 10–14, 17
Ligier Gitanes Blondes	Ligier - Mugen-Honda	JS41	Mugen-Honda MF-301 3.0 V10	G	Olivier Panis	All
Scuderia Ferrari	Ferrari	412T2	Ferrari 044/1 3.0 V12	G	Jean Alesi	All
Scuderia Ferrari	Ferrari	412T2	Ferrari 044/1 3.0 V12	G	Gerhard Berger	All
Red Bull Sauber Ford	Sauber - Ford	C14	Ford ECA Zetec-R 3.0 V8	G	Karl Wendlinger	1–4, 16–17
Red Bull Sauber Ford	Sauber - Ford	C14	Ford ECA Zetec-R 3.0 V8	G	Jean-Christophe Boullion	5–15
Red Bull Sauber Ford	Sauber - Ford	C14	Ford ECA Zetec-R 3.0 V8	G	Heinz-Harald Frentzen	All
