Score	Pos.	Inn.	Venue	H/A/N
113	2	1	R. Premadasa Stadium , Colombo	Away
124	1	2	Bangabandhu Stadium , Dhaka	Neutral
105	2	1	Sharjah Cricket Association Stadium , Sharjah	Neutral
109	1	1	R. Premadasa Stadium , Colombo	Away
107*	2	2	Queens Sports Club , Bulawayo	Away
130*	1	1	Vidarbha Cricket Association Ground , Nagpur	Home
183	2	1	County Ground , Taunton	Neutral
139	2	1	Gymkhana Club Ground , Nairobi	Neutral
153*	1	1	Captain Roop Singh Stadium , Gwalior	Home
100	2	2	Melbourne Cricket Ground , Melbourne	Away
141	2	1	Adelaide Oval , Adelaide	Neutral
105*♠	1	2	Keenan Stadium , Jamshedpur	Home
135*♠	1	2	Bangabandhu Stadium , Dhaka	Away
141*♠	1	1	Gymkhana Club Ground , Nairobi	Neutral
117♠	1	1	Gymkhana Club Ground , Nairobi	Neutral
144♠	2	1	Sardar Patel Stadium , Motera	Home
127♠	1	1	New Wanderers Stadium , Johannesburg	Away
111♠	1	1	Boland Park , Paarl	Neutral
117*♠	2	2	R. Premadasa Stadium , Colombo	Neutral
112*♠	3	1	City Oval , Pietermaritzburg	Neutral
107*♠	3	2	Newlands Cricket Ground , Cape Town	Neutral
111*♠	3	1	Kingsmead , Durban	Neutral
