CERCLIS ID	Name	County	Proposed	Listed	Construction completed	Partially deleted
CO7570090038	Air Force Plant PJKS	Jefferson	07/14/1989	11/21/1989	–	–
COD007063530	ASARCO, Inc. (Globe Plant)	Adams	05/10/1993	–	–	–
COD000110254	Broderick Wood Products	Adams	09/08/1983	09/21/1984	09/30/1996	–
COD980717938	California Gulch	Lake	07/14/1989	11/21/1989	–	04/16/2001 07/23/2001 04/22/2002 01/12/2010
COD981551427	Captain Jack Mill	Boulder	04/30/2003	09/29/2003	–	–
COD980717557	Central City/Clear Creek	Clear Creek	12/30/1982	09/08/1983	–	–
COD007431620	Chemical Sales Company	Denver	06/24/1988	08/30/1990	03/27/2000	–
COD980716955	Denver Radium Site	Denver	12/30/1982	09/08/1983	09/27/2006	–
COD081961518	Eagle Mine	Eagle	10/15/1984	06/10/1986	09/17/2001	–
COD042167858	Lincoln Park	Fremont	09/08/1983	09/21/1984	–	–
COD980499248	Lowry Landfill	Arapahoe	10/08/1983	09/21/1984	09/28/2006	–
COD980499255	Marshall Landfill	Boulder	12/30/1982	09/08/1983	08/25/1993	–
CON000802630	Nelson Tunnel/Commodore Waste Rock	Mineral	03/19/2008	09/03/2008	–	–
CO7890010526	Rocky Flats Plant ( DOE )	Jefferson	07/14/1989	11/21/1989	09/29/2006	05/25/2007
CO5210020769	Rocky Mountain Arsenal ( US Army )	Adams	10/15/1984	07/22/1987	–	01/21/2003 01/15/2004 07/31/2006
COD980717953	Sand Creek Industrial	Adams	12/30/1982	09/08/1983	09/29/1994	–
COD983769738	Smeltertown	Chaffee	02/07/1992	–	–	–
COD980806277	Smuggler Mountain	Pitkin	10/15/1984	06/10/1986	09/26/1996	–
CO0002378230	Standard mine	Gunnison	04/27/2005	09/14/2005	–	–
COD983778432	Summitville mine	Rio Grande	05/10/1993	05/31/1994	–	–
COD007063274	Uravan Uranium Project ( Union Carbide Corp. )	Montrose	10/15/1984	06/10/1986	09/29/2008	02/18/2005 09/04/2007
CO0002259588	Vasquez Boulevard and I-70	Denver	01/19/1999	07/22/1999	–	–
COD980667075	Woodbury Chemical	Adams	12/30/1982	09/08/1983	03/26/1992	–
