Year	Artist	Composition	Mintage	Issue Price
1998	Pierre Leduc	99.999% pure gold	1,998	$999.99
1999	Henry Purdy	99.999% pure gold	1,999	$999.99
2000	Caren Heine	99.999% pure gold	2,000	$999.99
2001	Bonnie Ross	99.999% pure gold	2,001	$1,019.99
2002	Dr. A. K. Hellum	99.999% pure gold	2,002	$1,099.99
2003	Pamela Stagg	99.999% pure gold	2,003	$1,099.99
2004	Catherine Ann Deer	99.999% pure gold	2,004	$1,099.99
2005	Chris Jordison	99.999% pure gold	2,005	$1,295.95
2006	Susan Taylor	99.999% pure gold	2,006	$1,489.95
2007	Sue Rose	99.999% pure gold	1,400	$1,520.95
2008	Celia Godkin	99.999% pure gold	1,400	$1,676.95
2009	Julie Wilson	99.999% pure gold	1,400	$2,149.95
2010	Celia Godkin	99.999% pure gold	1,400	$2,599.95
