Rank	District	Population	Growth Rate	Sex Ratio	Literacy	Density/KM
2	North 24 Parganas	10082852	12.86	949	84.95	2463
6	South 24 Parganas	8153176	18.05	949	78.57	819
7	Barddhaman	7723663	12.01	943	77.15	1100
9	Murshidabad	7102430	21.07	957	67.53	1334
14	West Midnapore	5943300	14.44	960	79.04	636
16	Hooghly	5520389	9.49	958	82.55	1753
18	Nadia	5168488	12.24	947	75.58	1316
20	East Midnapore	5094238	15.32	936	87.66	1076
23	Haora	4841638	13.31	935	83.85	3300
35	Kolkata	4486679	-1.88	899	87.14	24252
58	Maldah	3997970	21.50	939	62.71	1071
66	Jalpaiguri	3869675	13.77	954	73.79	621
80	Bankura	3596292	12.64	954	70.95	523
84	Birbhum	3502387	16.15	956	70.90	771
124	North Dinajpur	3000849	22.90	936	60.13	956
129	Puruliya	2927965	15.43	955	65.38	468
136	KochBihar	2822780	13.86	942	75.49	833
257	Darjiling	1842034	14.47	971	79.92	585
