Year	1st Position	2nd Position	9th Position	10th Position
2000/01	Marsa	Lija	Tarxien	Zurrieq
2001/02	Marsaxlokk	Mosta	Qormi	Luxol
2002/03	Msida	Balzan	Gozo	Xghajra
2003/04	St.Patrick	Lija	Tarxien	Rabat Ajax
2004/05	Hamrun	Mosta	Balzan	Gozo
2005/06	St.George's	Marsa	Lija	Luxol
2006/07	Hamrun	Mqabba	San Gwann	Naxxar
2007/08	Tarxien	Qormi	Mellieha	Marsa
2008/09	Dingli Swallows	Vittoriosa Stars	Rabat Ajax	Senglea
2009/10	Marsaxlokk	Vittoriosa Stars	St.Patrick	San Gwann
2010/11	Balzan Youths	Mqabba	Pietà Hotspurs	Msida Saint-Joseph
2011/12	Melita	Rabat Ajax	St. Patrick F.C	St. George's F.C
