Year	Winners	Club	Time	Runners-up
1946	RE Panelo ED Chafuen	Buenos Aires RC	8.8 4 L	G G Newton H L Warren
1947	W E C Horwood D C H Garrod	Quintin Boat Club	8.23 4 L	F Vrba J Vavrena
1948	B Piessens WA Collet	Belgian Royal RF	8.2 2 L	W E C Horwood D C H Garrod
1949	E W Parsner A Larsen	DFDS Rowing Club, Denmark	7.39 2½ L	J W Bown K W Tingate
1950	E W Parsner A Larsen	DFDS Roklubb, Denmark	8.21 E	J B Brown K W Tinegate
1951	P Bradley R D Burnell	Leander Club	8.41 2 L	B G Davies A A P Kemp
1952	R M A George J Van Stichel	UNdL & A, Belgium	7.37 E	J Rodgers M Riley
1953	E Schriever P Stebler	Seeclub, Zurich	7.37 E	C E Poynter W T J Baker
1954	E Schriever P Stebler	Seeclub Zurich, Switzerland	8.46 E	W G Beech KW Tinegate
1955	G Zhilin I Emchuk	Club Burevestnik, USSR	7.55 ½ L	H Vollmer T Keller
1956	S C Rand E H Rand	Royal Air Force	7.47 1½ L	A J Marsden D V Melvin
1957	A Berkutov Y Tyukalov	Club Krasnoe Z, USSR	7.41 E	G W Baker M A Spracklen
1958	A Berkutov Y Tyukalov	Trud Club, Leningrad,USSR	7.21 E	G W Baker M A Spracklen
1959	C G V Davidge S A Mackenzie	Leander Club	7.55 2¾ L	G C Justicz N J Birkmyre
1960	G C Justicz N J Birkmyre	Birmingham Rowing Club Bristol Ariel Rowing Club	7.17 1¾ L	B Monnereau R Duhamel
1961	G C Justicz N J Birkmyre	Birmingham Rowing Club Bristol Ariel Rowing Club	7.38 1¾ l.	A Berkutov Y Tyukalov
1962	G C Justicz N J Birkmyre	Leander Club	7.39 E	DN Joyce A Maclehose
1963	MB Alwin W van der Togt	Rv Willem III & Skadi	7.30 2 L	B Monnereau R Duhamel
1964	G C Justicz N J Birkmyre	Leander Club	7.32 ¾L	H Frederiksen IJ Kruse
1965	M Studach M Bürgin	Grasshopper Club, Zurich	7.1 1⅔ L	M Haake J Bruckhandler
1966	M Haake J Bruckhandler	TSC Berlin, Germany	7.20 3¾ L	NP Cooper AV Cooke
1967	M Studach M Bürgin	Grasshopper Club, Zurich	7.47 1¼ L	K Schabitz J Bohmer
1968	PA Barry R Findlay	Tideway Scullers NP Bank	9.18 2 L	AJ Crowley NS Drake
1969	D Oswald M Bürgin	Grasshopper RC, Zurich	7.35 3 L	AJ Cowley NS Drake
1970	T McKibbon J Van Blom	Long Beach RA, USA	7.43 3½ L	PJ Webb AV Cooke
1971	MA Brigden CA Brigden	Walton Rowing Club	8.21 1 L	B Balmer GG Parsonage
1972	P G R Delafield T J Crooks	Leander Club	7.24 1⅔ L	L Klecatsky JW Dietz
1973	M J Hart C L Baillieu	Leander Club Cambridge University Boat Club	7.11 4½ L	U Isler H Ruckstuhl
1974	G Korshikov A Timoshinin	Dynamo Club, USSR	7.23 2½ L	U Isler HE Ruckstahl
1975	M J Hart C L Baillieu	Leander Club	7.23 E	P Levy KB Gee
1976	R Prentice MS Spencer	London Rowing Club	7.22 2 L	JH van Drooge R Nolet
1977	M J Hart C L Baillieu	Leander Club	7.20 E	RG Stone CR Wood
1978	M J Hart C L Baillieu	Leander Club	7.44 E	MS Spencer R Prentice
1979	J Clark C L Baillieu	Thames Tradesmen's Rowing Club Leander Club	7.32 E	AC Rudkin I Gold
1980	P Walter B Ford	Victoria City RC, Canada	7.27 2 L	C Allsopp C Wood
1981	ER Sims S G Redgrave	Maidenhead Rowing Club Marlow Rowing Club	8.16 E	AM Riddle BA May
1982	DA Clift S G Redgrave	Marlow Rowing Club	7.55 3½ l.	NA Staite J Spencer-Jones
1983	J Spencer-Jones C L Baillieu	Bewdley Leander Club	7.27 3 L	P Johnson NA Staite
1984	M Espersen L Kruse	Bagsvaerd & Kolding Rks	7.25 1¼ L	T J Crooks H P Matheson
1985	B Eltang L Kruse	Kolding & Danske Rk, Denmark	7.14 3¼ L	BA Lewis G Springer
1986	JI Parks DM Chernoff	Charles River RA, USA	7.32 3½ L	RC Luke L Hancock
1987	N Couprina V Dosenko	Dinamo Moscow, USSR	7.21 E	JDM Scrivener R Henderson
1988	AC Rudkin APS Kittermaster	Tideway Scullers Barclays	7.26 ½ L	JDM Scrivener R Henderson
1989	R Floryn N Rienks	Die Leythe & Okeanos, Holland	7.4 5 L	P Luzek I Gruza
1990	AC Rudkin APS Kittermaster	Tideway Scullers Barclays	8.28 1¾ L	MB Alloway CF Williams
1991	B Eltang H Bang	Danske & Fana Roklubs, Norway	7.32 E	RC Luke CJ Skuse
1992	DC Dickerson TD Hallett	Mic Mac Frdrcton, Can	6.57 1¼ L	D Kruyswyk P Wiltenburg
1993	EWM Kittoe RF Redpath	London Rowing Club UL Tyrian	7.32 2ft	IW Hopkins M Pollecutt
1994	G Mitring J Dani	MTK-Gyori Vizugyi Se, Hungary	7.7 2½ L	P Urig C Handle
1995	MD Free PT Antonie	Tweed Heads RC Melbourne	6.58 2ft	B Jamieson DJ Gleeson
1996	G Walker G Lewis	Potomac BC & National TC, USA	7.7 3 L	D Schildhauer IRW Weighell
1997	MD Free D Free	Tweed Heads RC, Australia	6.58 E	BA Klein RJ Weaver
1998	Y Desaviere F Kowal	France	7.17 3 L	G M Ruckman R S C Tucker
1999	I M McGowan N V Peterson	Augusta SC, USA	7.44 3 L	C P Groom R S Tucker
2000	B Kalizan B Samuelson	Danmarks Rocenter	7.28 E	M K Langridge P J C Wells
2001	T Kucharski R Sycz	AZS Gorzow AZS, Poland	7.26 4 L	P P Gardner I P Lawson
2002	S. Vieilledent A. Hardy	R. C. de Cannes, France	7.32 4 L	A. Haller T. Peto
2003	B. Mueller M. Weiss	Heilbronner R.C., Germany	7.18 3L	M.S. Inglis T. Pascall
2004	P. Lorinczy K. Szabo	Hungary	7.47 2⅔ L	S. D. Goodbrand G. B. Blanchard
2005	M. J. Hunter J. W. Lindsay-Fynn	London Rowing Club Leander Club	7.26 E	I. M. Snijders A. F. Snijders
2006	M. W. Wells S. C. Rowbotham	Leander Club Univ.London	7.08 NRO	L. Špik I. Čop
2007	L. Špik I. Čop	Slovenia	7.33 5 L	M. Sloma M. Brzezinski
2008	W. D. Pierarini E. M. Hovey	Cal. R.C. USA	7.35 1¼ L	P. F. Graves T. H. Graves
2009	M. C. Trott N. Cohen	Waiariki R.C. New Zealand	7.42 1 L	M. W. Wells S. C. Rowbotham
2010	C. Berrest J. Bahain	Club France, France	7.38 NRO	M. W. Wells R. M. Bateman
2011	M. W. Wells R. M. Bateman	Leander Club	6.52 2½ L	D. W. Crawshay S. M. Brennan
2012	J. E. Collins A. J. Sinclair	Leander Club	7.35 4¼ L	A. Bernsten H. G. E. Grepperud
