Round	Pick	Overall	Name	Position	College
1	4	4	Don Allard	QB	Boston College
3	4	28	Emil Karas	LB	Dayton
4	4	40	Jim Wood	E	Oklahoma State
5	1	49	Bob Wetoska	OT	Notre Dame
6	5	65	Jim McFalls	OT	Virginia Military Institute
7	4	76	Don Lawrence	DT	Notre Dame
7	7	79	Mitch Ogiego	QB	Iowa
7	9	81	Jim Kenney	E	Boston University [k ]
8	5	89	Gene O'Pella	E	Villanova
9	4	100	Dick Haley	DB	Pittsburgh
10	5	113	Ron Togh	RB	Notre Dame
11	4	124	Gerry Marciniak	G	Michigan
12	5	137	Roger Wypyszynski	OT	St. Norbert
13	4	148	Billy Shoemake	E	Louisiana State
14	5	161	Kurt Schwarz	G	Maryland
15	4	172	Fred Hood	E	Northeastern State
16	5	185	Dick Splain	OT	New Haven
17	4	196	Jim Healy	G	Holy Cross
18	5	209	Joe Kapp	QB	California
19	4	220	Bobby Lauder	RB	Auburn
20	5	233	Homer Brewer	DB	Mississippi
21	4	244	Mel Reight	RB	West Virginia
22	5	257	Art Gob	DE	Pittsburgh
23	4	268	Clarence Alexander	RB	Southeastern Louisiana
24	5	281	George Darrah	RB	Franklin & Marshall
25	4	292	Bob Sargent	OT	Colby
26	5	305	Gene Grabosky	DT	Syracuse
27	4	316	Norm Odyniec	RB	Notre Dame
28	5	329	Billy Austin	RB	Rutgers
29	4	340	Don Lockwood	G	Tulane
30	5	353	Jim Colclough	E	Boston College
